time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
0.0,1.0000000000000001e-07,5e-06,0.0,0.0,0.0
600.0,9.95538908609204e-08,4.78685134220471e-06,2.1193843543348152e-10,4.4448706792086867e-10,2.1306966795803455e-07
1200.0,9.665849900883969e-08,3.7264909570196697e-06,9.577364881477759e-10,3.340740267779617e-09,1.2734499558318804e-06
1800.0,8.660826949617933e-08,2.047242840698657e-06,4.017432555631881e-09,1.3393074324293198e-08,2.9526276467245906e-06
2400.0,5.919852739779547e-08,4.7058369381871317e-07,1.4704236189707754e-08,4.08055407449217e-08,4.529230162192804e-06
3000.0,1.5553375083309347e-08,3.2551148112602905e-08,4.6917136931713226e-08,8.444896593013925e-08,4.967124100132642e-06
3600.0,5.192457695086793e-09,2.3088923693902024e-08,6.520190706209269e-08,9.480633350153242e-08,4.9764892105529915e-06
4200.0,3.7807381422475005e-09,1.880835850104537e-08,7.980925694509522e-08,9.621606562841543e-08,4.980476815937688e-06
4800.0,3.240002049209205e-09,1.633050282109549e-08,9.181067077184222e-08,9.675585655634286e-08,4.982750945726278e-06
5400.0,2.9089805989416338e-09,1.4726135605978287e-08,1.0175437792169303e-07,9.708375565414538e-08,4.9842327014495394e-06
6000.0,2.6835999001291176e-09,1.3614921997713886e-08,1.1002423450506228e-07,9.730197382807044e-08,4.9852642874819585e-06
6600.0,2.5217871564524697e-09,1.2809107965392575e-08,1.1692365791238573e-07,9.745879551005163e-08,4.986016231572988e-06
7200.0,2.401389597318441e-09,1.220589408971065e-08,1.2268618265740119e-07,9.757548600960161e-08,4.986582808833006e-06
7800.0,2.309509263094297e-09,1.174303347998869e-08,1.2750334222581334e-07,9.766454408952059e-08,4.986633666053048e-06
8400.0,2.238059445758628e-09,1.1381978241454435e-08,1.3153180087353783e-07,9.773380341328052e-08,4.986633666053048e-06
9000.0,2.1817002454865375e-09,1.1096659979619766e-08,1.3490126497116356e-07,9.77884384954876e-08,4.986633666053048e-06
9600.0,2.1367468747815634e-09,1.086877900456818e-08,1.377198833461285e-07,9.783201933355835e-08,4.986633666053048e-06
10200.0,2.100574498366459e-09,1.0685227115407879e-08,1.4007787589827629e-07,9.78670891572959e-08,4.986633666053048e-06
10800.0,2.0712628084513e-09,1.0536374651203012e-08,1.4205059939119844e-07,9.78955087239643e-08,4.986633666053048e-06
11400.0,2.0473757978528438e-09,1.0414997826756788e-08,1.4370104099330136e-07,9.791866963069059e-08,4.986633666053048e-06
12000.0,2.0278199423240796e-09,1.0315582292904146e-08,1.4508187024251404e-07,9.793763167582762e-08,4.986633666053048e-06
12600.0,2.0117790449620502e-09,1.0233856720161588e-08,1.462371386519592e-07,9.795322311274388e-08,4.986633666053048e-06
13200.0,1.998540341856596e-09,1.0166471748986165e-08,1.472036953359941e-07,9.796622773269032e-08,4.986633666053048e-06
13800.0,1.9875909676704833e-09,1.0110773415253556e-08,1.4801237096976798e-07,9.797698350301068e-08,4.986633666053048e-06
14400.0,1.9784292872289144e-09,1.0065010396086451e-08,1.4868349257604188e-07,9.797797273038869e-08,4.986633666053048e-06
15000.0,1.9707741580391164e-09,1.0026792490577003e-08,1.4924869548916184e-07,9.797797273038869e-08,4.986633666053048e-06
15600.0,1.9644070963774805e-09,9.995002980733899e-09,1.4972212573120394e-07,9.797797273038869e-08,4.986633666053048e-06
16200.0,1.9591078247819965e-09,9.968539496149562e-09,1.5011854449534718e-07,9.797797273038869e-08,4.986633666053048e-06
16800.0,1.954693711484281e-09,9.94649250471031e-09,1.5045041881183447e-07,9.797797273038869e-08,4.986633666053048e-06
17400.0,1.951014234385123e-09,9.928112056481589e-09,1.5072822950857818e-07,9.797797273038869e-08,4.986633666053048e-06
18000.0,1.9479451804458583e-09,9.912778995330693e-09,1.5096077047228893e-07,9.797797273038869e-08,4.986633666053048e-06
