time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
0.0,1.0000000000000001e-07,4.9999999999999996e-06,0.0,0.0,0.0
600.0,9.97657438925826e-08,4.886333257988131e-06,1.1639852837036934e-10,2.321870622102617e-10,1.1360749228244732e-07
1200.0,9.814724973518617e-08,4.204783462603864e-06,5.024265911714148e-10,1.8505447262846813e-09,7.950784057683374e-07
1800.0,9.350787268281768e-08,2.9696572296370385e-06,1.5226690286156362e-09,6.491912914094984e-09,2.030269452253544e-06
2400.0,8.158905429226333e-08,1.5643927503671788e-06,4.5869680436454915e-09,1.8414560707314557e-08,3.43551595885374e-06
3000.0,5.835460101407716e-08,3.9291309145417296e-07,1.1983866958728347e-08,4.1649931555091846e-08,4.606870052725521e-06
3600.0,2.3495867947875904e-08,5.1561312826476326e-08,2.9952556743470075e-08,7.650752206344359e-08,4.948053289063486e-06
4200.0,9.807517656226855e-09,3.9124426896950746e-08,3.850773477468517e-08,9.019304235632573e-08,4.96031398977879e-06
4800.0,6.830332757448491e-09,3.355955288550361e-08,4.473388187791837e-08,9.316693164879044e-08,4.965784940264969e-06
5400.0,5.914447040523891e-09,3.0197011271706645e-08,4.963729911410292e-08,9.408120435569842e-08,4.968791395628952e-06
6000.0,5.428549877071473e-09,2.7946128965170276e-08,5.359071211589661e-08,9.456610500509388e-08,4.970815854172194e-06
6600.0,5.1022215218313025e-09,2.6348092059806834e-08,5.681295083428412e-08,9.488853210802817e-08,4.972258907878506e-06
7200.0,4.866078967562241e-09,2.5170544219567385e-08,5.9452028438919044e-08,9.51177588134445e-08,4.973330314389986e-06
7800.0,4.6887948683550615e-09,2.42768823731223e-08,6.162736530960623e-08,9.528987595055664e-08,4.974146139716781e-06
8400.0,4.5526220615704045e-09,2.358583573276801e-08,6.342344275249718e-08,9.542205876038459e-08,4.974777978847646e-06
9000.0,4.446232144293848e-09,2.3043021831703967e-08,6.49094491106352e-08,9.552532222224304e-08,4.975194949752107e-06
9600.0,4.361980094630406e-09,2.261007748545462e-08,6.614169552393536e-08,9.560708786905049e-08,4.975194949752107e-06
10200.0,4.294591457427723e-09,2.2262977920800317e-08,6.716440765687479e-08,9.56724842132503e-08,4.975194949752107e-06
10800.0,4.240267161782556e-09,2.1982655577150262e-08,6.801408246061987e-08,9.572520024453429e-08,4.975194949752107e-06
11400.0,4.196193078988577e-09,2.1754900319050974e-08,6.872064075099515e-08,9.576796814420444e-08,4.975194949752107e-06
12000.0,4.160248485020594e-09,2.156894485971809e-08,6.930865298550204e-08,9.580284661083675e-08,4.975194949752107e-06
12600.0,4.130928216033382e-09,2.141650621343959e-08,6.979833975058586e-08,9.583164844677707e-08,4.975194949752107e-06
13200.0,4.1067277137871404e-09,2.129112500863776e-08,7.020639252716678e-08,9.585542104230383e-08,4.975194949752107e-06
13800.0,4.086777163258353e-09,2.1187714494396037e-08,7.054659513245348e-08,9.587501883260721e-08,4.975194949752107e-06
14400.0,4.0703449715532606e-09,2.1103295592177494e-08,7.082675336320891e-08,9.589116047475367e-08,4.975194949752107e-06
15000.0,4.056762770827461e-09,2.1032633256088063e-08,7.106307959451476e-08,9.590450251868868e-08,4.975194949752107e-06
15600.0,4.045460971884692e-09,2.0973863357732694e-08,7.126082195668802e-08,9.591560448228672e-08,4.975194949752107e-06
16200.0,4.0359112466387304e-09,2.0924989502802748e-08,7.142611522937062e-08,9.591855469880808e-08,4.975194949752107e-06
16800.0,4.0277576906518295e-09,2.088431166165023e-08,7.15642811277414e-08,9.591855469880808e-08,4.975194949752107e-06
17400.0,4.0209594517977385e-09,2.0850431416205398e-08,7.167977142259034e-08,9.591855469880808e-08,4.975194949752107e-06
18000.0,4.015294662820699e-09,2.0822193407495406e-08,7.177631694043943e-08,9.591855469880808e-08,4.975194949752107e-06
