time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
0.0,9.999283081612152e-08,4.9996415408060745e-06,0.0,0.0,0.0
600.0,9.998665734450089e-08,4.9960697836205775e-06,4.0222804665771e-12,7.0996917785938686e-12,3.5475072475005983e-09
1200.0,9.991926601851617e-08,4.963050485307727e-06,2.0018644377904618e-11,7.337765064145783e-11,3.6470236207559154e-08
1800.0,9.97594257161905e-08,4.886195204686111e-06,3.989912421479653e-11,2.3081282862362096e-10,1.1332175806847668e-07
2400.0,9.951807194107562e-08,4.773569778441442e-06,5.924722328617251e-11,4.689000065247445e-10,2.2593851132775648e-07
3000.0,9.92165879081731e-08,4.6388178033333785e-06,7.706885276673466e-11,7.667133167974205e-10,3.60676644641913e-07
3600.0,9.88746323995342e-08,4.494042224831623e-06,9.335456980213524e-11,1.1048971599597241e-09,5.054340720137792e-07
4200.0,9.850780385456875e-08,4.348240040215004e-06,1.0828553197907096e-10,1.4680172434138e-09,6.512151024919796e-07
4800.0,9.812802214864705e-08,4.207485214643576e-06,1.2201887336731973e-10,1.8442240741550105e-09,7.919471114015567e-07
5400.0,9.774440562613168e-08,4.075539817347717e-06,1.3464988959617546e-10,2.2244146749366235e-09,9.23869204553611e-07
6000.0,9.736403563917607e-08,3.9544704877658145e-06,1.4622411872537727e-10,2.6014959049948463e-09,1.044915676607666e-06
6600.0,9.699249373376103e-08,3.84515717123785e-06,1.5675962966754238e-10,2.969865817954734e-09,1.1542072647349137e-06
7200.0,9.663419865345875e-08,3.7476820867780906e-06,1.6626702499775177e-10,3.325087839348052e-09,1.2516622023807025e-06
7800.0,9.629260307837682e-08,3.6616157543246796e-06,1.7476347067415034e-10,3.6636995132571764e-09,1.337710228136419e-06
8400.0,9.597030801438526e-08,3.586221875245918e-06,1.8228030373250795e-10,3.983099439455751e-09,1.4130877460451472e-06
9000.0,9.566913957436703e-08,3.5205681243386495e-06,1.8886519727108878e-10,4.281469135005425e-09,1.4786941521512906e-06
9600.0,9.539016599611056e-08,3.4634565111211425e-06,1.9459773193722673e-10,4.557752463762005e-09,1.5354911075865576e-06
10200.0,9.513385182635564e-08,3.414228634443471e-06,1.9953164633384905e-10,4.811499732585779e-09,1.5844489518068379e-06
10800.0,9.490016138104695e-08,3.3719488861945346e-06,2.0374623519337937e-10,5.042761848012039e-09,1.6264956418651137e-06
11400.0,9.468859886549666e-08,3.3357467895167594e-06,2.0732283064277254e-10,5.252047402551371e-09,1.6624957162653253e-06
12000.0,9.449830444094237e-08,3.304828565371354e-06,2.1034096898726835e-10,5.4402254508820725e-09,1.693238296273319e-06
12600.0,9.43281474583898e-08,3.278481164845135e-06,2.1287572225525702e-10,5.608431814806225e-09,1.719432715680694e-06
13200.0,9.417681186183224e-08,3.256071394613147e-06,2.1499600763505373e-10,5.757983746928946e-09,1.7417091434354035e-06
13800.0,9.404287062776805e-08,3.237042027032966e-06,2.1676371341096856e-10,5.89030590548483e-09,1.7606222922835541e-06
14400.0,9.392483125313593e-08,3.220901513025387e-06,2.1823387284962106e-10,6.0065225319456834e-09,1.7765550533280819e-06
