time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
0.0,1.0000000000000001e-07,5e-06,0.0,0.0,0.0
600.0,9.991986896213912e-08,4.960347249418419e-06,4.503770404668142e-11,7.985878595097717e-11,3.961410808694355e-08
1200.0,9.914237230540214e-08,4.603014521215598e-06,2.4668367224915773e-10,8.544244776987207e-10,3.968604826644972e-07
1800.0,9.687307672186953e-08,3.7838787178097233e-06,6.741774805641338e-10,3.1245117770621445e-09,1.2159616414432866e-06
2400.0,9.148086205486779e-08,2.640779069520266e-06,1.8094390829004817e-09,8.518626372150579e-09,2.3591286350949026e-06
3000.0,7.927612362597594e-08,1.4391561053202357e-06,4.835639709292267e-09,2.0727350986135226e-08,3.5607355108154254e-06
3600.0,5.757912415356995e-08,4.2750235950786806e-07,1.1418073040531035e-08,4.242494601939394e-08,4.572295168564244e-06
4200.0,2.4677579366546115e-08,5.284941963692106e-08,2.96441570016669e-08,7.532540560729764e-08,4.9467547685585505e-06
4800.0,9.593994136781174e-09,3.707697605810212e-08,4.067083210851848e-08,9.040598783191599e-08,4.962314256908218e-06
5400.0,6.285636720761063e-09,3.0510347045830664e-08,4.921083991151296e-08,9.37097792274649e-08,4.968805337873117e-06
6000.0,5.274151661371357e-09,2.667903700111431e-08,5.617741771770034e-08,9.471917735654271e-08,4.972321828360331e-06
6600.0,4.7370537052282474e-09,2.4181884890345316e-08,6.192299260929953e-08,9.525504502505844e-08,4.974565296160119e-06
7200.0,4.380702789981716e-09,2.2443595134873366e-08,6.668563082556757e-08,9.561064299843584e-08,4.976135283763999e-06
7800.0,4.126183161880805e-09,2.1180420498119933e-08,7.064134494758111e-08,9.585784477645962e-08,4.977282984957958e-06
8400.0,3.937061499593404e-09,2.023188331608598e-08,7.393910452227144e-08,9.604100720612627e-08,4.978150266363116e-06
9000.0,3.792780805306385e-09,1.9503549059407363e-08,7.669044882455426e-08,9.618072470553261e-08,4.978817557604512e-06
9600.0,3.680590705795618e-09,1.8934449730302655e-08,7.89878449641322e-08,9.628935965458329e-08,4.979349862484829e-06
10200.0,3.5920432623478616e-09,1.8482568089437414e-08,8.090816472389138e-08,9.637509545604287e-08,4.979349862484829e-06
10800.0,3.5213599102105763e-09,1.8120878408956988e-08,8.251375842235556e-08,9.644353171498933e-08,4.979349862484829e-06
11400.0,3.464446212846459e-09,1.7829162666583436e-08,8.385642212866713e-08,9.649863516621826e-08,4.979349862484829e-06
12000.0,3.418298318940222e-09,1.7592326199110335e-08,8.497940323443728e-08,9.654331479695428e-08,4.979349862484829e-06
12600.0,3.38066907830278e-09,1.739901770212386e-08,8.59187574170071e-08,9.657974659710154e-08,4.979349862484829e-06
13200.0,3.349846343022075e-09,1.724055282247388e-08,8.670457629181474e-08,9.660958839390275e-08,4.979349862484829e-06
13800.0,3.3245054771569474e-09,1.7110191137921942e-08,8.736199310641657e-08,9.663412274416791e-08,4.979349862484829e-06
14400.0,3.3036913603214904e-09,1.7002638220755626e-08,8.791200688940251e-08,9.66545050941863e-08,4.979349862484829e-06
15000.0,3.2864133207711006e-09,1.691369052753102e-08,8.837218256871483e-08,9.66714776281258e-08,4.979349862484829e-06
15600.0,3.272178239146688e-09,1.6840987841761597e-08,8.875190955607873e-08,9.668546100889639e-08,4.979349862484829e-06
16200.0,3.2603518076917862e-09,1.677995427809929e-08,8.907327942213503e-08,9.669707832859669e-08,4.979349862484829e-06
16800.0,3.2504252183133176e-09,1.6729132560308608e-08,8.934267003122385e-08,9.670213670726937e-08,4.979349862484829e-06
17400.0,3.2419457571506962e-09,1.6686786352017252e-08,8.956839107153871e-08,9.670213670726937e-08,4.979349862484829e-06
18000.0,3.234868679171561e-09,1.6651480892038152e-08,8.975746236208386e-08,9.670213670726937e-08,4.979349862484829e-06
