time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
0.0,7.785898339647885e-08,1.5571796679295764e-06,0.0,0.0,0.0
60.0,7.785412840426832e-08,1.5562245045038618e-06,1.139223330848949e-11,4.780058817230981e-12,9.5512390855676e-10
120.0,7.784161149603533e-08,1.5537593631355646e-06,2.9670984692829665e-11,1.7144275844235653e-11,3.420017687340675e-09
180.0,7.782072717253278e-08,1.5496476740010655e-06,5.006772522720849e-11,3.78420502344289e-11,7.531051159203273e-09
240.0,7.779158549040602e-08,1.5439213928971045e-06,7.068935220820144e-11,6.681139978145194e-11,1.325610976733653e-08
300.0,7.775446160176615e-08,1.5366520531782158e-06,9.112236161973489e-11,1.0381502371077081e-10,2.0522912411088214e-08
360.0,7.770959313100117e-08,1.5279096977450387e-06,1.1145259405960892e-10,1.4865325936741083e-10,2.926199450383214e-08
420.0,7.765714000139187e-08,1.5177543854660656e-06,1.3184600800899788e-10,2.011969701062717e-10,3.941335776422371e-08
480.0,7.759718939210386e-08,1.5062369894098067e-06,1.524700939589727e-10,2.613871424091737e-10,5.092629017689926e-08
540.0,7.752976738299861e-08,1.493401509788224e-06,1.7347013357628028e-10,3.2922033451435417e-10,6.375632802159705e-08
600.0,7.745420966312268e-08,1.4792872026311426e-06,1.949712651069044e-10,4.047490335117538e-10,7.78652267042493e-08
660.0,7.737086701208869e-08,1.4639302716843267e-06,2.1708397969890658e-10,4.880608730575722e-10,9.321649694125633e-08
720.0,7.727961386400479e-08,1.4473651047636298e-06,2.3990884924348336e-10,5.79282055708832e-10,1.0977588267159327e-07
780.0,7.71802922053499e-08,1.4296252439393682e-06,2.6353991664647683e-10,6.785712838428859e-10,1.2750997872149428e-07
840.0,7.707271441169888e-08,1.4107441408949747e-06,2.8806700841962635e-10,7.861169181738101e-10,1.463854734856313e-07
900.0,7.695666543394704e-08,1.3907557648772461e-06,3.135772820640416e-10,9.021347881599521e-10,1.663685393154529e-07
960.0,7.68319045636339e-08,1.3696951011275565e-06,3.4015625676627045e-10,1.0268664245860682e-09,1.8742433270068335e-07
1020.0,7.66981669295804e-08,1.3475985622505622e-06,3.6788850153500195e-10,1.1605775619774665e-09,2.0951658175971595e-07
1080.0,7.655516482597626e-08,1.324504324913823e-06,3.9685809788634847e-10,1.3035568105699418e-09,2.3260724861525783e-07
1140.0,7.640258893758085e-08,1.300452598059365e-06,4.2714895448691467e-10,1.4561144320296154e-09,2.566562604436924e-07
1200.0,7.624010950502128e-08,1.2754858252816211e-06,4.5884502458466237e-10,1.6185811758064064e-09,2.8162130651535907e-07
1260.0,7.6067377458202e-08,1.2496488223537258e-06,4.920304597274241e-10,1.7913071479977254e-09,3.0745770021972924e-07
1320.0,7.588402553576781e-08,1.2229888504800993e-06,5.267897223592738e-10,1.9746606947107893e-09,3.341183054794833e-07
1380.0,7.568966940143643e-08,1.1955556262995812e-06,5.632076734814191e-10,2.1690272890919877e-09,3.6155352651821104e-07
1440.0,7.548390876246847e-08,1.1674012706527719e-06,6.013696484047282e-10,2.3748084168084663e-09,3.89711358964349e-07
1500.0,7.526632849059888e-08,1.1385801994260034e-06,6.41361532857266e-10,2.5924204597891364e-09,4.185374989819101e-07
1560.0,7.503649974073996e-08,1.109148961209449e-06,6.832698527214476e-10,2.8222935831295402e-09,4.479755056986021e-07
1620.0,7.479398105725868e-08,1.0791660279131694e-06,7.271818929327848e-10,3.0648706356533792e-09,4.779670107983775e-07
1680.0,7.453831945144363e-08,1.0486808900386517e-06,7.73185864052235e-10,3.320606080876639e-09,5.084515073728546e-07
1740.0,7.42690484702108e-08,1.0177639019598783e-06,8.213781544707206e-10,3.5899679412484737e-09,5.393678059576155e-07
1800.0,7.39856939190025e-08,9.864776162960002e-07,8.71845545051188e-10,3.8734320845451475e-09,5.706533533429575e-07
1860.0,7.368777274436807e-08,9.548853777903973e-07,9.246812180362047e-10,4.171483358333877e-09,6.022448042576388e-07
1920.0,7.33747936232308e-08,9.230509997745711e-07,9.799810840673296e-10,4.4846150197457415e-09,6.340783448844079e-07
1980.0,7.304625738515749e-08,8.910384536451834e-07,1.0378444502572443e-09,4.813328335617587e-09,6.660900033624653e-07
2040.0,7.270165717600904e-08,8.589115749506636e-07,1.098374980812143e-09,5.158132444853737e-09,6.982159436811177e-07
2100.0,7.23404783116049e-08,8.267337938358759e-07,1.1616818740741757e-09,5.519544534431662e-09,7.303927352172673e-07
2160.0,7.196219777785905e-08,7.94567896822785e-07,1.2278812576982677e-09,5.898090372544883e-09,7.625575909400791e-07
2220.0,7.156628334338004e-08,7.624758256745986e-07,1.2970978008754453e-09,6.294305232756084e-09,7.946485685367419e-07
