time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
0.0,1.0000000000000001e-07,4.9999999999999996e-06,0.0,0.0,0.0
600.0,9.858832524105194e-08,4.3769788719728655e-06,5.983196267370013e-10,1.4112361908207722e-09,6.229669450315913e-07
1200.0,9.04515898439732e-08,2.491590553330962e-06,3.225380111062849e-09,9.549685567959632e-09,2.5084132285264345e-06
1800.0,6.24620496540143e-08,5.234713852976241e-07,1.4650158263771319e-08,3.754134796633326e-08,4.476485851078545e-06
2400.0,1.5323437548115233e-08,3.1969288629776956e-08,4.767960838855387e-08,8.467763483752322e-08,4.967757376506665e-06
3000.0,5.339994371571272e-09,2.4018210975830697e-08,6.268491637285882e-08,9.465810703451567e-08,4.975597701385624e-06
3600.0,4.064793684545296e-09,2.036568915485589e-08,7.373755068461434e-08,9.593184648347891e-08,4.9789299513070204e-06
4200.0,3.5906369690420937e-09,1.8202439677542188e-08,8.24092070405242e-08,9.640527040355656e-08,4.9809197440333634e-06
4800.0,3.298133838618629e-09,1.678285821703757e-08,8.93269726973037e-08,9.669103902096251e-08,4.982231764203338e-06
5400.0,3.09798263549969e-09,1.579485557222635e-08,9.488120004867025e-08,9.688542551568135e-08,4.983149504766923e-06
6000.0,2.9543249634420267e-09,1.507865860875341e-08,9.93654609241162e-08,9.702492723871592e-08,4.9838171540598435e-06
6600.0,2.847882500256637e-09,1.4544361566222206e-08,1.0299755081385103e-07,9.712828743730343e-08,4.984185572915464e-06
7200.0,2.767134122605836e-09,1.4136518767427591e-08,1.059496449501295e-07,9.720669519455605e-08,4.984185572915464e-06
7800.0,2.7047867833746734e-09,1.3820714093022821e-08,1.0835580563623447e-07,9.726723536154155e-08,4.984185572915464e-06
8400.0,2.6559742313562093e-09,1.3572938670014038e-08,1.1032239282240006e-07,9.731463331560722e-08,4.984185572915464e-06
9000.0,2.617331694614876e-09,1.3376468199908162e-08,1.1193379343879953e-07,9.735215625786988e-08,4.984185572915464e-06
9600.0,2.5864642966709495e-09,1.321933069223746e-08,1.1325721862803582e-07,9.738212955898606e-08,4.984185572915464e-06
10200.0,2.5616258379345028e-09,1.3092758504052534e-08,1.1434641685554584e-07,9.740624872593263e-08,4.984185572915464e-06
10800.0,2.541571448720934e-09,1.2990206981579602e-08,1.1524453859400907e-07,9.742589931446153e-08,4.984185572915464e-06
11400.0,2.525205796940647e-09,1.2906710132003963e-08,1.1598636771196264e-07,9.744197559322409e-08,4.984185572915464e-06
12000.0,2.5118330324060923e-09,1.2838448893776733e-08,1.166000333518664e-07,9.745511190416181e-08,4.984185572915464e-06
12600.0,2.5008676621792125e-09,1.2782450929103618e-08,1.1710836589505207e-07,9.746588338768529e-08,4.984185572915464e-06
13200.0,2.4917343570571553e-09,1.2736799481997976e-08,1.17526086714085e-07,9.746687018132346e-08,4.984185572915464e-06
13800.0,2.4841161864626457e-09,1.2698810482689043e-08,1.1787600724407734e-07,9.746687018132346e-08,4.984185572915464e-06
14400.0,2.477815019350446e-09,1.2667384677735352e-08,1.1816706222885705e-07,9.746687018132346e-08,4.984185572915464e-06
15000.0,2.4725969067506683e-09,1.2641352387151642e-08,1.1840926375370835e-07,9.746687018132346e-08,4.984185572915464e-06
15600.0,2.4682695493183925e-09,1.2619757966776731e-08,1.1861093681932656e-07,9.746687018132346e-08,4.984185572915464e-06
16200.0,2.46467631661277e-09,1.2601822739527362e-08,1.1877896360345197e-07,9.746687018132346e-08,4.984185572915464e-06
16800.0,2.4616893714949874e-09,1.258691073654088e-08,1.1891903317587874e-07,9.746687018132346e-08,4.984185572915464e-06
17400.0,2.4592040614338376e-09,1.257450098343442e-08,1.1903585317226992e-07,9.746687018132346e-08,4.984185572915464e-06
18000.0,2.457134462662888e-09,1.2564165489842039e-08,1.1913332380870834e-07,9.746687018132346e-08,4.984185572915464e-06
