time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
0.0,9.999514017916962e-08,4.9997570089584795e-06,0.0,0.0,0.0
600.0,9.97675578845879e-08,4.8896270532654656e-06,7.77909949569936e-11,2.246788079634926e-10,1.1009697734585571e-07
1200.0,9.915506212293381e-08,4.611155049535343e-06,1.5007301809348304e-10,8.327237294602502e-10,3.885127656781789e-07
1800.0,9.829040983769214e-08,4.261407890062398e-06,2.1599548535859944e-10,1.6952239200060603e-09,7.381627749546048e-07
2400.0,9.724100986605969e-08,3.899324557260127e-06,2.8253071910029334e-10,2.7458095606292547e-09,1.100118549564169e-06
3000.0,9.603944897359685e-08,3.556373715511479e-06,3.5288657505597206e-10,3.9515197471310195e-09,1.4429269843843152e-06
3600.0,9.470627151892475e-08,3.247336220435873e-06,4.2710853739787073e-10,5.2891618985116164e-09,1.7518208420426804e-06
4200.0,9.327104270401426e-08,2.9772264359317417e-06,5.026012419902508e-10,6.729760516131095e-09,2.0217960409626456e-06
4800.0,9.177163708078034e-08,2.7455748877448313e-06,5.754735026595375e-10,8.2324000791851e-09,2.2533282421599904e-06
5400.0,9.025609698679067e-08,2.5491355611577654e-06,6.422908407907593e-10,9.748102451591746e-09,2.449665734883594e-06
6000.0,8.877223503664985e-08,2.3835865154847466e-06,7.0112683877286e-10,1.1229074470127714e-08,2.615129942882511e-06
6600.0,8.736213949923411e-08,2.244500217928553e-06,7.515435591495471e-10,1.2636595791974711e-08,2.754146458639118e-06
7200.0,8.60539899055476e-08,2.1278036445031578e-06,7.940367669123231e-10,1.3944450693302307e-08,2.870785949513492e-06
7800.0,8.486040778849122e-08,2.029936531124859e-06,8.295139479771397e-10,1.513778980362827e-08,2.9686064300376685e-06
8400.0,8.378694338374266e-08,1.9478636458701093e-06,8.589804372341036e-10,1.6211054410312265e-08,3.0506411856987334e-06
9000.0,8.283243044469008e-08,1.8790279279760853e-06,8.833901608761324e-10,1.7165403165333097e-08,3.1194456679207654e-06
9600.0,8.199129347879804e-08,1.8212861492315992e-06,9.035874012208471e-10,1.8006405121949358e-08,3.1771618018811435e-06
10200.0,8.124871081876103e-08,1.7728447478756519e-06,9.202940893063552e-10,1.874198360497405e-08,3.2255821027693737e-06
10800.0,8.06028103643315e-08,1.7322035487210904e-06,9.340918418644057e-10,1.9381509800598002e-08,3.266205906804139e-06
11400.0,8.004360914264851e-08,1.6981063685088365e-06,9.4552991510148e-10,1.993498606165048e-08,3.300288722572962e-06
12000.0,7.956128200213745e-08,1.6694993328002348e-06,9.549989255260819e-10,2.0412222992809484e-08,3.328883879051711e-06
12600.0,7.914653781554198e-08,1.6454995174251991e-06,9.628409125744293e-10,2.082247655649115e-08,3.3528738588509746e-06
13200.0,7.879096365995604e-08,1.6254678834405493e-06,9.69248721468395e-10,2.117299664317965e-08,3.3730138245924656e-06
13800.0,7.84866538323723e-08,1.6086548983676847e-06,9.745623000162968e-10,2.1471925746896462e-08,3.3899140309302355e-06
14400.0,7.822658666371601e-08,1.5945423460487773e-06,9.789780032318836e-10,2.1727394478385938e-08,3.40394421126742e-06
15000.0,7.800460891606266e-08,1.582664479682921e-06,9.826613316029879e-10,2.19454472756878e-08,3.4156120564205206e-06
15600.0,7.781531508315991e-08,1.5726641718747262e-06,9.85734937855743e-10,2.2131394066358442e-08,3.425435541497334e-06
16200.0,7.765402589173559e-08,1.5642465943388736e-06,9.882988927342228e-10,2.2289831386028677e-08,3.433704281709369e-06
16800.0,7.751670192338833e-08,1.5571625770943546e-06,9.904373523156788e-10,2.2424727229198827e-08,3.440663041281589e-06
17400.0,7.739986287399797e-08,1.5512017872951799e-06,9.922208251853877e-10,2.2539500362195237e-08,3.446518434011623e-06
18000.0,7.730051566012663e-08,1.5461868128204922e-06,9.93708252371715e-10,2.263709094556589e-08,3.4514447350673098e-06
18600.0,7.721609050962608e-08,1.5419680910035666e-06,9.94948840186897e-10,2.2720023313444574e-08,3.4555888625888468e-06
19200.0,7.714438439084641e-08,1.5384195879677495e-06,9.959836361701153e-10,2.2790461544072928e-08,3.4590746219560548e-06
19800.0,7.708351118565325e-08,1.5354351305724548e-06,9.96846866141308e-10,2.2850258405755747e-08,3.4620063089848326e-06
20400.0,7.703191954226067e-08,1.5329327239409865e-06,9.97561722813788e-10,2.2900937819697382e-08,3.4644644687406955e-06
21000.0,7.698816360195214e-08,1.5308269075133864e-06,9.981598013371455e-10,2.2943920079332442e-08,3.4665330506931516e-06
21600.0,7.695106297562278e-08,1.5290551790152776e-06,9.986599597761608e-10,2.2980364702445745e-08,3.4682734519683084e-06
22200.0,7.69196142051875e-08,1.5275647379606174e-06,9.990781006282168e-10,2.3011257404248535e-08,3.469737539448329e-06
22800.0,7.689296395317873e-08,1.5263110624075103e-06,9.994276242609468e-10,2.3037436433726675e-08,3.470969047850202e-06
23400.0,7.687038650832963e-08,1.5252566392319784e-06,9.99719779583256e-10,2.3059614670317107e-08,3.4720048270010196e-06
24000.0,7.685127732218436e-08,1.5243720472803968e-06,9.999363390463275e-10,2.3078385973013805e-08,3.472873777837545e-06
24600.0,7.683518662887186e-08,1.5236398169624746e-06,1.0001243245388842e-09,2.3094192155049642e-08,3.473593061057507e-06
25200.0,7.682161943604408e-08,1.5230272926376692e-06,1.0002825320724225e-09,2.310751945645211e-08,3.4741947548932707e-06
25800.0,7.681017485147826e-08,1.5225136314960935e-06,1.0004160843519914e-09,2.3118761680976496e-08,3.474699333617806e-06
26400.0,7.680053468134714e-08,1.5220852723497051e-06,1.0005244624092708e-09,2.3128231396232955e-08,3.4751201186339045e-06
27000.0,7.679242239795322e-08,1.5217279215793616e-06,1.0006057191771709e-09,2.313620024043131e-08,3.475471150824813e-06
27600.0,7.6790247060117e-08,1.5214289942800682e-06,1.0006813670013872e-09,2.314298928585312e-08,3.4757647925726443e-06
28200.0,7.6790247060117e-08,1.521180763672846e-06,1.0007319688474018e-09,2.3148930569002067e-08,3.4760086340335705e-06
28800.0,7.6790247060117e-08,1.5209649082671511e-06,1.0007807186870169e-09,2.3154133218431552e-08,3.4760758814874346e-06
29400.0,7.6790247060117e-08,1.5207535593399458e-06,1.0008305655139729e-09,2.315869650923227e-08,3.4760758814874346e-06
30000.0,7.6790247060117e-08,1.5205447870043356e-06,1.0008795848176895e-09,2.316272044248377e-08,3.4760974042986045e-06
30600.0,7.6790247060117e-08,1.5203392342375418e-06,1.0009272583995914e-09,2.3166288249930382e-08,3.4760974042986045e-06
31200.0,7.6790247060117e-08,1.5201347272234091e-06,1.0009742051454716e-09,2.316947075058022e-08,3.4760974042986045e-06
31800.0,7.6790247060117e-08,1.5199312768308112e-06,1.0010205269995293e-09,2.3172328348836516e-08,3.4760974042986045e-06
32400.0,7.6790247060117e-08,1.5197288909118187e-06,1.001066248294786e-09,2.3174668550677855e-08,3.4760974042986045e-06
33000.0,7.6790247060117e-08,1.5195275763841615e-06,1.0011113906453029e-09,2.3175675977462503e-08,3.4760974042986045e-06
33600.0,7.6790247060117e-08,1.519327339523985e-06,1.001155973796376e-09,2.317694141668908e-08,3.4760974042986045e-06
34200.0,7.6790247060117e-08,1.5191281860521308e-06,1.001200015924831e-09,2.3177949870950816e-08,3.4760974042986045e-06
34800.0,7.6790247060117e-08,1.5189301211687424e-06,1.0012435338558153e-09,2.3178966282423308e-08,3.4760974042986045e-06
35400.0,7.6790247060117e-08,1.518733149571222e-06,1.0012865432403978e-09,2.3179989224874548e-08,3.4760974042986045e-06
