x,phi
0.125,3.9396728902521813e-165
0.375,6.542816446806078e-165
0.625,1.3463375316115492e-164
0.875,2.9254996418733053e-164
1.125,6.429681720232375e-164
1.375,1.4159210052524372e-163
1.625,3.1181747208630897e-163
1.875,6.864345699230728e-163
2.125,1.5104246444950799e-162
2.375,3.321945807007033e-162
2.625,7.302604169938968e-162
2.875,1.604553056266722e-161
3.125,3.523880054298433e-161
3.375,7.735324315196741e-161
3.625,1.6971724747387277e-160
3.875,3.721886684351153e-160
4.125,8.158112655704701e-160
4.375,1.787332302436256e-159
4.625,3.91389918139915e-159
4.875,8.566479040438862e-159
5.125,1.8740584795212144e-158
5.375,4.097808396235035e-158
5.625,8.955865246111569e-158
5.875,1.956367824591745e-157
6.125,4.2714978924504115e-157
6.375,9.321724619836981e-157
6.625,2.0332856357173652e-156
6.875,4.4328826018100463e-156
7.125,9.659606667617494e-156
7.375,2.103864144121157e-155
7.625,4.579948964133435e-155
7.875,9.96524411011081e-155
8.125,2.167201339425088e-154
8.375,4.710795514639454e-154
8.625,1.0234640124660334e-153
8.875,2.222459664286067e-153
9.125,4.823672816542885e-153
9.375,1.0464153363482477e-152
9.625,2.2688840534827295e-152
9.875,4.917021600034485e-152
10.125,1.0650578286986182e-151
10.375,2.3058187877705258e-151
10.625,4.989507972271591e-151
10.875,1.0791218388754739e-150
11.125,2.3327226474541853e-150
11.375,5.040054608705918e-150
11.625,1.0883950017753295e-149
11.875,2.3491818849871127e-149
12.125,5.067866924108501e-149
12.375,1.0927274722724812e-148
12.625,2.3549205894539127e-148
12.875,5.072453350191787e-148
13.125,1.0920358348150422e-147
13.375,2.349808087068554e-147
13.625,5.053639011992117e-147
13.875,1.0863055491060278e-146
14.125,2.3338631084894578e-146
14.375,5.011572291529024e-146
14.625,1.0755918370014819e-145
14.875,2.3072545526795567e-145
15.125,4.946723987433321e-145
15.375,1.0600189645044238e-144
15.625,2.2702987844235436e-144
15.875,4.8598790146463876e-144
16.125,1.0397779240968662e-143
16.375,2.2234535141623722e-143
16.625,4.752120829429361e-143
16.875,1.0151225745392527e-142
17.125,2.167308419935908e-142
17.375,4.6248090018155794e-142
17.625,9.863643455205114e-142
17.875,2.102572777297824e-141
18.125,4.479550580364633e-141
18.375,9.538656610510158e-141
18.625,2.0300604596180702e-140
18.875,4.318166093251734e-140
19.125,9.180322762970684e-140
19.375,1.9506727541591923e-139
19.625,4.142651197003815e-139
19.875,8.793047559562088e-139
20.125,1.865379505261755e-138
20.375,3.955135112690973e-138
20.625,8.381493469079311e-138
20.875,1.7751991422537317e-137
21.125,3.75783707403478e-137
21.375,7.950485127972872e-137
21.625,1.6811781745899496e-136
21.875,3.553022049712059e-136
22.125,7.504914029315074e-136
22.375,1.5843707395220714e-135
22.625,3.3429569923318376e-135
22.875,7.049645223843175e-135
23.125,1.485818768624773e-134
23.375,3.129868810584468e-134
23.625,6.5894285497489395e-134
23.875,1.3865333000905964e-133
24.125,2.9159051624567767e-133
24.375,6.1288166672541926e-133
24.625,1.287477406100746e-132
24.875,2.703099031611344e-132
25.125,5.672091857946746e-132
25.375,1.189551131806111e-131
25.625,2.4933378830347187e-131
25.875,5.223203173347943e-131
26.125,1.0935787581372191e-130
26.375,2.288338006013922e-130
26.625,4.785715100402858e-130
26.875,1.0002986088238614e-129
27.125,2.0896244512432998e-129
27.375,4.3627684728431504e-129
27.625,9.103555268398158e-129
27.875,1.8985167634509803e-128
28.125,3.9570539161081945e-128
28.375,8.242960511431087e-128
28.625,1.7161205101655127e-127
28.875,3.5707976882820583e-127
29.125,7.42566234948606e-127
29.375,1.5433244192253172e-126
29.625,3.2057593870914016e-126
29.875,6.655119652964729e-126
30.125,1.3808027694033634e-125
30.375,2.863240647653954e-125
30.625,5.933815732234962e-125
30.875,1.229022535748149e-124
31.125,2.544103668498266e-124
31.375,5.263304665589459e-124
31.625,1.0882546780319868e-123
31.875,2.2487981820450536e-123
32.125,4.644274746420158e-123
32.375,9.585888794802814e-123
32.625,1.9773953342755547e-122
32.875,4.0766256670206683e-122
33.125,8.399509944888993e-122
33.375,1.7296268571786535e-121
33.625,3.55955593110993e-121
33.875,7.321224474969307e-121
34.125,1.5049279039295761e-120
34.375,3.091657003794308e-120
34.625,6.347608383352152e-120
34.875,1.3024819648910497e-119
35.125,2.671010852116329e-119
35.375,5.474210488099443e-119
35.625,1.1212663843916724e-118
35.875,2.295287782849588e-118
36.125,4.695762067068878e-118
36.375,9.600971440694694e-118
36.625,1.961841824864069e-117
36.875,4.006379419304437e-117
37.125,8.176717575747089e-117
37.375,1.6678013075155483e-116
37.625,3.399754599603442e-116
37.875,6.92609322426583e-116
38.125,1.4101527300490308e-115
38.375,2.86933055070391e-115
38.625,5.834869868644745e-115
38.875,1.185816476791223e-114
39.125,2.4084578493738492e-114
39.375,4.888723024404798e-114
39.625,9.917133877625081e-114
39.875,2.0105312499717845e-113
40.125,4.073511378739538e-113
40.375,8.248216259138698e-113
40.625,1.669105114590153e-112
40.875,3.375510188479053e-112
41.125,6.822236755548142e-112
41.375,1.3779876331541715e-111
41.625,2.781599261884328e-111
41.875,5.611436504947077e-111
42.125,1.1313144384711571e-110
42.375,2.279407272231958e-110
42.625,4.589753776027719e-110
42.875,9.236027970275432e-110
43.125,1.8574152979283516e-109
43.375,3.7330194820622596e-109
43.625,7.4978800084943255e-109
43.875,1.5050233473125118e-108
44.125,3.0190759563994492e-108
44.375,6.052439004070638e-108
44.625,1.2125842138975539e-107
44.875,2.4278286485555722e-107
45.125,4.8578971058645443e-107
45.375,9.714093387230562e-107
45.625,1.9412409412535003e-106
45.875,3.876853029550642e-106
46.125,7.737514587665844e-106
46.375,1.543282360744784e-105
46.625,3.0761718292998348e-105
46.875,6.1276872804537816e-105
47.125,1.2198401318059905e-104
47.375,2.4267725698026836e-104
47.625,4.8247474848883724e-104
47.875,9.586033965855689e-104
48.125,1.9033634038044086e-103
48.375,3.776785790874775e-103
48.625,7.4892855487099875e-103
48.875,1.4841415772487095e-102
49.125,2.9391834118591603e-102
49.375,5.8169317023868216e-102
49.625,1.1504736274082657e-101
49.875,2.2739153913690948e-101
50.125,4.491447925840852e-101
50.375,8.865686548133123e-101
50.625,1.7488469880346084e-100
50.875,3.447499338293543e-100
51.125,6.79155161491864e-100
51.375,1.3370441664326094e-99
51.625,2.630473504450216e-99
51.875,5.17169656220455e-99
52.125,1.0161142916911378e-98
52.375,1.9950877275574046e-98
52.625,3.9146310799802426e-98
52.875,7.67588710743383e-98
53.125,1.5040930470792888e-97
53.375,2.9452943425218485e-97
53.625,5.76354999548023e-97
53.875,1.1270891648143454e-96
54.125,2.202585715147434e-96
54.375,4.301433166000548e-96
54.625,8.394577461077106e-96
54.875,1.6371530614884846e-95
55.125,3.1906854426256295e-95
55.375,6.214160115908477e-95
55.625,1.2094393867824902e-94
55.875,2.3522770621610976e-94
56.125,4.571881998750136e-94
56.375,8.879800310763406e-94
56.625,1.7235048411831418e-93
56.875,3.3428924896606566e-93
57.125,6.479363965669365e-93
57.375,1.254994659941639e-92
57.625,2.4291279054193207e-92
57.875,4.6984797522901015e-92
58.125,9.081598000843039e-92
58.375,1.75414136919781e-91
58.625,3.3858192906827215e-91
58.875,6.530693306346565e-91
59.125,1.2587822036008088e-90
59.375,2.424583534993988e-90
59.625,4.666791735040612e-90
59.875,8.976227636254162e-90
60.125,1.7252932430055842e-89
60.375,3.313790639419439e-89
60.625,6.360331452050476e-89
60.875,1.2199061456391141e-88
61.125,2.3381078034398178e-88
61.375,4.4780974024068e-88
61.625,8.570632660670041e-88
61.875,1.6391625284594123e-87
62.125,3.132711421721344e-87
62.375,5.982840798466547e-87
62.625,1.1417805228480486e-86
62.875,2.1774359308705836e-86
63.125,4.1494941180361065e-86
63.375,7.901897206453233e-86
63.625,1.5036733139288897e-85
63.875,2.8593080125717815e-85
64.125,5.433168324632048e-85
64.375,1.0316433539382086e-84
64.625,1.9574453684391131e-84
64.875,3.711357491648629e-84
65.125,7.031669255764957e-84
65.375,1.3312696097213327e-83
65.625,2.5185754651957593e-83
65.875,4.761290878882503e-83
66.125,8.994451481668196e-83
66.375,1.6978694789946878e-82
66.625,3.202675911538594e-82
66.875,6.036708183070041e-82
67.125,1.1370126354020972e-81
67.375,2.1399702704241245e-81
67.625,4.0246391645995057e-81
67.875,7.56349173743136e-81
68.125,1.4203432779474323e-80
68.375,2.6652583661724928e-80
68.625,4.997579788092901e-80
68.875,9.363840280243271e-80
69.125,1.7531598240536605e-79
69.375,3.279908168436846e-79
69.625,6.131601630154867e-79
69.875,1.1454012630035447e-78
70.125,2.138022499970545e-78
70.375,3.987834970812034e-78
70.625,7.432446311175564e-78
70.875,1.384189287806668e-77
71.125,2.575892228825904e-77
71.375,4.789914883253027e-77
71.625,8.900106523483578e-77
71.875,1.652453748100452e-76
72.125,3.065699028018379e-76
72.375,5.683229721098536e-76
72.625,1.052751310734142e-75
72.875,1.948590802870263e-75
73.125,3.603953468536946e-75
73.375,6.660406881855738e-75
73.625,1.2299424602736492e-74
73.875,2.269502489816099e-74
74.125,4.1844439404158875e-74
74.375,7.709131442251969e-74
74.625,1.4191658005342204e-73
74.875,2.6104789469340038e-73
75.125,4.7980636615249616e-73
75.375,8.811907895370651e-73
75.625,1.6170796163141033e-72
75.875,2.965170998377165e-72
76.125,5.432807883179657e-72
76.375,9.946140473876412e-72
76.625,1.8194488037939868e-71
76.875,3.3256724484358713e-71
77.125,6.0739730015918544e-71
77.375,1.1084583075578095e-70
77.625,2.021242197866873e-70
77.875,3.6827242795613653e-70
78.125,6.704575306394659e-70
78.375,1.219618278313256e-69
78.625,2.2168000430181132e-69
78.875,4.02604314111046e-69
79.125,7.305988650784713e-69
79.375,1.324730655332787e-68
79.625,2.400068077116705e-68
79.875,4.344764799597129e-68
80.125,7.858778941783492e-68
80.375,1.4203301886078612e-67
80.625,2.5648877198360148e-67
80.875,4.627980750744085e-67
81.125,8.343691224086137e-67
81.375,1.503030332671306e-66
81.625,2.705325052993262e-66
81.875,4.865334410199213e-66
82.125,8.742724915029736e-66
82.375,1.5697162328937062e-65
82.625,2.8160155191976236e-65
82.875,5.047633760676322e-65
83.125,9.040217202935909e-65
83.375,1.6177353161832282e-64
83.625,2.8924973918833172e-64
83.875,5.1674314913650694e-64
84.125,9.223846218241656e-64
84.375,1.645069633281001e-63
84.625,2.931505770520906e-63
84.875,5.219522635842576e-63
85.125,9.285466098314353e-63
85.375,1.6504746156209868e-62
85.625,2.931200536151871e-62
85.875,5.201314067934071e-62
86.125,9.221696220092367e-62
86.375,1.6335711383449316e-61
86.625,2.8913064009951478e-61
86.875,5.1130298367666476e-61
87.125,9.034206142832104e-61
87.375,1.5948815709876703e-60
87.625,2.8131505298918965e-60
87.875,4.9577303721651784e-60
88.125,8.729664381170944e-60
88.375,1.5358054744083106e-59
88.625,2.6995924455182283e-59
88.875,4.741140576648091e-59
89.125,8.319350115996815e-59
89.375,1.4585362114728057e-58
89.625,2.5548510042382262e-58
89.875,4.4712997803726005e-58
90.125,7.818458724506896e-58
90.375,1.3659253169524268e-57
90.625,2.384242944006144e-57
90.875,4.158063313953805e-57
91.125,7.245160735445301e-57
91.375,1.2613063431139428e-56
91.625,2.193855679959404e-56
91.875,3.81249901209432e-56
92.125,6.619496004172102e-56
92.375,1.1482934721425217e-55
92.625,1.990182673509001e-55
92.875,3.446230679906574e-55
93.125,5.962197936535748e-55
93.375,1.0305720497565929e-54
93.625,1.7797521853006103e-54
