x (μm),y (μm),S2 (μM),I2 (μM),Th2 (μM)
20.0,20.0,0.0004135500914833995,0.0,0.0
60.0,20.0,0.00041493653928100914,0.0,0.0
100.0,20.0,0.00041771391091379156,0.0,0.0
140.0,20.0,0.00042189117275954216,0.0,0.0
180.0,20.0,0.0004274818101873928,0.0,0.0
220.0,20.0,0.0004345038706490334,0.0,0.0
260.0,20.0,0.0004429800213479368,0.0,0.0
300.0,20.0,0.0004529376216711246,0.0,0.0
340.0,20.0,0.0004644088106152472,0.0,0.0
380.0,20.0,0.0004774306094867345,0.0,0.0
420.0,20.0,0.000492045040204649,0.0,0.0
460.0,20.0,0.0005082992595848006,0.0,0.0
500.0,20.0,0.0005262457100348217,0.0,0.0
540.0,20.0,0.0005459422871424168,0.0,0.0
580.0,20.0,0.0005674525246930573,0.0,0.0
620.0,20.0,0.0005908457977091668,0.0,0.0
660.0,20.0,0.0006161975441605113,0.0,0.0
700.0,20.0,0.0006435895060552544,0.0,0.0
740.0,20.0,0.0006731099906831584,0.0,0.0
780.0,20.0,0.0007048541528468951,0.0,0.0
820.0,20.0,0.0007389242989845932,0.0,0.0
860.0,20.0,0.0007754302141567994,0.0,0.0
900.0,20.0,0.0008144895129441924,0.0,0.0
940.0,20.0,0.0008562280153788993,0.0,0.0
980.0,20.0,0.0009007801491123688,0.0,0.0
1020.0,20.0,0.000948289379106697,0.0,0.0
1060.0,20.0,0.0009989086662243714,0.0,0.0
1100.0,20.0,0.0010528009561838522,0.0,0.0
1140.0,20.0,0.0011101397004455594,0.0,0.0
1180.0,20.0,0.0011711094106949798,0.0,0.0
1220.0,20.0,0.001235906248697074,0.0,0.0
1260.0,20.0,0.0013047386534093012,0.0,0.0
1300.0,20.0,0.0013778280073597274,0.0,0.0
1340.0,20.0,0.0014554093444222376,0.0,0.0
1380.0,20.0,0.0015377321012532122,0.0,0.0
1420.0,20.0,0.0016250609147935816,0.0,0.0
1460.0,20.0,0.0017176764683873582,0.0,0.0
1500.0,20.0,0.0018158763892230396,0.0,0.0
1540.0,20.0,0.0019199761999681428,0.0,0.0
1580.0,20.0,0.0020303103276400635,0.0,0.0
1620.0,20.0,0.002147233172938996,0.0,0.0
1660.0,20.0,0.0022711202434613307,0.0,0.0
1700.0,20.0,0.0024023693544153115,0.0,0.0
1740.0,20.0,0.002541401900675429,0.0,0.0
1780.0,20.0,0.0026886642042385435,0.0,0.0
1820.0,20.0,0.0028446289413838013,0.0,0.0
1860.0,20.0,0.0030097966540905525,0.0,0.0
1900.0,20.0,0.003184697350534366,0.0,0.0
1940.0,20.0,0.0033698921997614537,0.0,0.0
1980.0,20.0,0.0035659753259369435,0.0,0.0
2020.0,20.0,0.0037735757078730067,0.0,0.0
2060.0,20.0,0.003993359189869333,0.0,0.0
2100.0,20.0,0.00422603061024117,0.0,0.0
2140.0,20.0,0.004472336054269379,0.0,0.0
2180.0,20.0,0.004733065238682622,0.0,0.0
2220.0,20.0,0.005009054035173708,0.0,0.0
2260.0,20.0,0.005301187140859542,0.0,0.0
2300.0,20.0,0.005610400904015903,0.0,0.0
2340.0,20.0,0.0059376863138526186,0.0,0.0
2380.0,20.0,0.006284092163538752,0.0,0.0
2420.0,20.0,0.006650728396137435,0.0,0.0
2460.0,20.0,0.0070387696435602835,0.0,0.0
2500.0,20.0,0.007449458969094688,0.0,0.0
2540.0,20.0,0.007884111824483349,0.0,0.0
2580.0,20.0,0.008344120232930892,0.0,0.0
2620.0,20.0,0.008830957209759188,0.0,0.0
2660.0,20.0,0.00934618143270731,0.0,0.0
2700.0,20.0,0.009891442174042775,0.0,0.0
2740.0,20.0,0.010468484506676782,0.0,0.0
2780.0,20.0,0.011079154796303904,0.0,0.0
2820.0,20.0,0.0117254064911465,0.0,0.0
2860.0,20.0,0.012409306220084638,0.0,0.0
2900.0,20.0,0.013133040208675513,0.0,0.0
2940.0,20.0,0.013898921020658336,0.0,0.0
2980.0,20.0,0.014709394629802239,0.0,0.0
3020.0,20.0,0.015567047823127251,0.0,0.0
3060.0,20.0,0.016474615931277276,0.0,0.0
3100.0,20.0,0.01743499087471571,0.0,0.0
3140.0,20.0,0.018451229504888242,0.0,0.0
3180.0,20.0,0.01952656220682861,0.0,0.0
3220.0,20.0,0.020664401712934592,0.0,0.0
3260.0,20.0,0.021868352055603526,0.0,0.0
3300.0,20.0,0.023142217557527177,0.0,0.0
3340.0,20.0,0.024490011720690923,0.0,0.0
3380.0,20.0,0.025915965825906512,0.0,0.0
3420.0,20.0,0.02742453699069018,0.0,0.0
3460.0,20.0,0.029020415350184677,0.0,0.0
3500.0,20.0,0.030708529918104438,0.0,0.0
3540.0,20.0,0.03249405254530055,0.0,0.0
3580.0,20.0,0.03438239921348747,0.0,0.0
3620.0,20.0,0.03637922766948077,0.0,0.0
3660.0,20.0,0.03849043010644528,0.0,0.0
3700.0,20.0,0.04072211921487022,0.0,0.0
3740.0,20.0,0.04308060543445357,0.0,0.0
3780.0,20.0,0.04557236261061598,0.0,0.0
3820.0,20.0,0.04820397846170572,0.0,0.0
3860.0,20.0,0.050982085254307,0.0,0.0
3900.0,20.0,0.05391326481738149,0.0,0.0
3940.0,20.0,0.05700392044964285,0.0,0.0
3980.0,20.0,0.06026010633666706,0.0,0.0
4020.0,20.0,0.06368730275131883,0.0,0.0
4060.0,20.0,0.06729012254447067,0.0,0.0
4100.0,20.0,0.07107193127746038,0.0,0.0
4140.0,20.0,0.07503435993928255,0.0,0.0
4180.0,20.0,0.07917668584424359,0.0,0.0
4220.0,20.0,0.0834950546303447,0.0,0.0
4260.0,20.0,0.08798151535600486,0.0,0.0
4300.0,20.0,0.0926228433136521,0.0,0.0
4340.0,20.0,0.09739913414190489,0.0,0.0
4380.0,20.0,0.10228217223740928,0.0,0.0
4420.0,20.0,0.10723361194577422,0.0,0.0
4460.0,20.0,0.11220306836690014,0.0,0.0
4500.0,20.0,0.11712630256927604,0.0,0.0
4539.996236600906,20.0,0.1219233555563697,0.0,0.0
4573.014514275963,20.0,0.12570104887548741,0.0,0.0
4587.702097597852,20.0,0.12730687514284644,0.0,0.0
4590.953041973933,20.0,0.12765990172907993,0.0,0.0
4594.083838125271,20.0,0.12799761506938023,0.0,0.0
4597.153724350763,20.0,0.1283265364863976,0.0,0.0
4600.191535166067,20.0,0.12864979878470748,0.0,0.0
4603.212126729305,20.0,0.1289689823644037,0.0,0.0
4606.22338027306,20.0,0.12928489635684368,0.0,0.0
4609.229542198867,20.0,0.12959794989407383,0.0,0.0
4612.232919691614,20.0,0.12990833977596858,0.0,0.0
4615.234955712447,20.0,0.1302161674692517,0.0,0.0
4618.23663543359,20.0,0.1305214832785693,0.0,0.0
4621.238315154731,20.0,0.13082427087427798,0.0,0.0
4624.239994875874,20.0,0.13112447719813855,0.0,0.0
4627.241674597015,20.0,0.13142204901534682,0.0,0.0
4630.243354318158,20.0,0.13171693293225561,0.0,0.0
4633.245034039299,20.0,0.1320090754146222,0.0,0.0
4636.246713760442,20.0,0.1322984228063855,0.0,0.0
4639.248393481583,20.0,0.13258492134896435,0.0,0.0
4642.250073202726,20.0,0.13286851720107792,0.0,0.0
4645.251752923867,20.0,0.13314915645907927,0.0,0.0
