r_um,r_inner_um,r_outer_um,n_cells_full,n_cells_facing,n_cells_away,I2_full_nM,I2_facing_nM,I2_away_nM,S2_free_full_nM,S2_free_facing_nM,S2_free_away_nM,Th2_full_nM,Th2_facing_nM,Th2_away_nM,S2_I2_full_nM,S2_I2_facing_nM,S2_I2_away_nM,S2_Th2_full_nM,S2_Th2_facing_nM,S2_Th2_away_nM,S2_total_full_nM,S2_total_facing_nM,S2_total_away_nM
0.5,0.0,1.0,2,1,1,69.7914348700699,69.70383471618864,69.87976750290052,2.5913385886459466,2.6021507191148765,2.580436051281421,41.5573914695505,41.40174434112461,41.71434005967535,30.128248268219618,30.21627174933234,30.039488768457307,358.9520979291221,359.10549121875204,358.7974220235302,391.6716847859877,391.9239136871993,391.417346843269
1.5,1.0,2.0,6,2,4,69.79896404001512,69.61969693030758,69.89306189552315,2.5904347212097067,2.6125772929399025,2.5788120174206863,41.5714398334472,41.253379011120224,41.738390934242666,30.12069507784693,30.30082837222719,30.02614255934849,358.9381461214283,359.25161260141124,358.77360660501523,391.64927592048497,392.1650182665783,391.37856118178445
2.5,2.0,3.0,9,5,4,69.73492567498184,69.50501559786113,70.01504176557748,2.598455812506495,2.62686111816822,2.563847572303264,41.46084071356841,41.053096647944706,41.957624826107,30.185073362321862,30.41609450760225,29.90360357695488,359.04691230379814,359.44876731572435,358.5573032516992,391.8304414786265,392.4917229414948,391.0247544009573
3.5,3.0,4.0,11,6,5,69.66376909354335,69.34192807667492,70.00927681437668,2.6073561095399573,2.647205565845415,2.5645763080139945,41.33754097092507,40.76911475251728,41.947766631703026,30.256610259668165,30.58001464673997,29.909424205597375,359.1681387207215,359.7283258342012,358.56675803064724,392.03210508992964,392.95554604678654,391.04075854425867
4.5,4.0,5.0,14,8,6,69.73630650617389,69.29114145699073,70.13226244637733,2.598545763493985,2.653634131919181,2.549546933163309,41.47023430132703,40.683030494511044,42.17041960120966,30.183776381906114,30.631097261812908,29.785902919240666,359.0369169046598,359.81275837512436,358.3468379340616,391.8192390500599,393.0974897688563,390.6822877864656
5.5,5.0,6.0,17,9,8,69.68614608819955,69.11295580582325,70.18538264167245,2.6049835430869894,2.6760213160519037,2.543111152657821,41.387676147677105,40.37687873379257,42.26805921187515,30.23425293887503,30.810222958998366,29.732595292904506,359.11769982368867,360.1139311993825,358.250003469171,391.95693630565074,393.6001754744327,390.52570991473334
6.5,6.0,7.0,13,8,5,69.56938919923938,68.92586008898387,70.24989859250611,2.6198037325523926,2.699708230461487,2.5353075372368314,41.19103536520948,40.06016599725603,42.38688993524496,30.351664844504885,30.998285569186507,29.667886177752642,359.3108156321863,360.4257413969831,358.13182086155643,392.2822842092435,394.12373519663106,390.3350145765459
7.5,7.0,8.0,16,7,9,69.7428771481868,68.8970712506794,70.31273835420627,2.598436508146386,2.703374782039855,2.5277344103071933,41.50053149144023,40.011645349145454,42.50366761897755,30.177425866440455,31.02730627989671,29.60481945779304,359.0049858415769,360.4727451773976,358.016083886977,391.78084821616375,394.20342623933414,390.1486377550772
8.5,8.0,9.0,16,11,5,69.1943356336822,68.69065853629766,70.31170650438776,2.6669832213150118,2.7297095350163807,2.5278294735655114,40.54745902322174,39.66714317209163,42.5003754734255,30.72871986206218,31.23482356177401,29.605965751242305,359.9437092693817,360.8116506325338,358.01824471738445,393.33941235275887,394.7761837293244,390.1520399421923
9.5,9.0,10.0,16,7,9,69.63936679898511,68.61784050756552,70.3849534073223,2.611914588218495,2.7391332019712706,2.519060889256451,41.33445542653829,39.548407014847434,42.63804769702995,30.281690404937866,31.30813387583232,29.532514869719368,359.16655537482745,360.92755266330556,357.88124729549963,392.0601603679839,394.9748197411092,389.9328230544755
10.5,10.0,11.0,17,8,9,69.54263520734904,68.45980947612598,70.36008075773903,2.624247044782707,2.7594458462760145,2.522182921709155,41.172438236033194,39.288264009166156,42.59483686722585,30.379005097781036,31.46701886669607,29.55764299996867,359.3253035800227,361.1834430984623,357.92255904084686,392.32855572258643,395.4099078114343,390.00238496252473
11.5,11.0,12.0,18,12,6,68.97882447583798,68.08331134040438,70.6596432757114,2.695976085682354,2.807949467706886,2.4858094693086996,40.226155936696884,38.67139079997418,43.14434704723374,30.945642156957177,31.845421256478975,29.256816425241766,360.257878941801,361.79145264334227,357.37946275051416,393.8994971844404,396.4448233675282,389.12208864506465
12.5,12.0,13.0,21,8,13,69.57660775053793,68.12659544751862,70.31245943950599,2.6206122082537284,2.802574322043263,2.528270144340605,41.246075716734765,38.74601420901732,42.51480597450375,30.34521160994666,31.802106744724853,29.60586702415,359.24968513240395,361.7162333810724,357.9979621705196,392.21550895060426,396.32091444784066,390.13209933901015
13.5,13.0,14.0,13,7,6,68.9679067834107,67.60415411905932,70.42554948705697,2.6983104755211014,2.8705460795984217,2.5142169971697155,40.228991710911934,37.90568105809539,42.712254922714656,30.956936246059065,32.32714448312914,29.492393524017036,360.2523253606526,362.54509487814613,357.8017059443329,393.9075720822327,397.7427854408737,389.8083164655196
14.5,14.0,15.0,24,14,10,68.71062798134467,67.64245496486905,70.39299823433811,2.731246911383602,2.866139486320633,2.5187913897373764,39.80099555795255,37.979311535997944,42.67014405882166,31.215631144727244,32.288850648866536,29.525312684283787,360.67301924956433,362.4708151981698,357.84149441394794,394.6198973056752,397.625805333357,389.88559848796905
15.5,15.0,16.0,12,7,5,68.72533726346606,67.46055735001417,70.61098045360015,2.7301472345906785,2.8900749656284224,2.491713153105411,39.8432268967712,37.69153079799203,43.051161378295006,31.201063395554133,32.471810422331885,29.30652391722949,360.6296084172484,362.75329081668855,357.4634391794854,394.56081904739324,398.1151762046489,389.2616762498203
16.5,16.0,17.0,17,5,12,69.2596744785026,67.0577720634124,70.36074308085416,2.66330873975612,2.9444224348946917,2.522736904561768,40.76781327598213,37.08456571394992,42.6096334299763,30.66440745521316,32.87665370418499,29.558166384437516,359.7153304087998,363.3517801522077,357.8969116591514,393.04304660376897,399.1728562912874,389.9778149481507
17.5,17.0,18.0,16,10,6,68.00601993866634,66.80704955578607,69.99038481149292,2.823064871671678,2.977257933364421,2.56786649510993,38.66200585580492,36.68555893205379,41.933139075189516,31.924151686371946,33.12871963472917,29.93052252106209,361.79244400111673,363.74454482723587,358.5616049721652,396.53966055916027,399.85052239532945,391.05999398833717
18.5,18.0,19.0,19,10,9,68.45045755881688,66.88323367141906,70.48206238499793,2.76734416330623,2.967440307868691,2.507957935044807,39.430583412953986,36.80905717448829,42.82888878645762,31.47783897373559,33.05236222340373,29.436771926020192,361.03202688654864,363.6209115176349,357.67603508905654,395.2772100235905,399.6407140489072,389.62076495012155
19.5,19.0,20.0,15,6,9,68.77076058441243,66.50364261148766,70.31151048900405,2.72743267663932,3.0190307983804376,2.5292604669805003,39.98692876258954,36.24319419794031,42.53119806934215,31.156262645203284,33.43391741879831,29.60835185404937,360.4807823230159,364.1786488464494,357.9676852715102,394.3644776448585,400.63159706362813,390.1052975925402
20.5,20.0,21.0,19,8,11,68.38865967649114,66.3894809615649,69.9864220857287,2.7761894914089478,3.035397742422966,2.5690278221983545,39.341748598889325,36.088298273947125,41.941936661468866,31.54041041809383,33.54880314396989,29.935284084748847,361.1153568272199,364.3301754128654,358.5460436135923,395.43195673672255,400.9143762992583,391.05035552053954
21.5,21.0,22.0,25,13,12,68.04283795321834,65.79050745705675,70.19299605269144,2.8235852407770863,3.116870924905708,2.5436038658130884,38.83608793968665,35.19726590810638,42.30984220313832,31.88803780151391,34.15067718342823,29.728038457944727,361.61363881928975,365.21013686988755,358.180288595417,396.32526186158077,402.4776849782214,390.4519309191748
22.5,22.0,23.0,25,13,12,67.64861649500433,66.06364280424467,69.68687382383962,2.8726909901163986,3.079886419535351,2.606240130410369,38.145221317069826,35.60462793139808,41.412394215980186,32.28431604260577,33.87649529716499,30.236792444362674,362.29365540027226,364.8053553520557,359.0636391139426,397.4506624329944,401.76173706875596,391.9066716887157
23.5,23.0,24.0,32,15,17,68.13543882657144,65.66595266722427,70.25661520626669,2.8129814110102895,3.1353839492854036,2.5360522829184102,39.013194524347035,35.037488894083836,42.42814497613057,31.795573386803166,34.27626275196403,29.66477396246806,361.43370341776745,365.36410055129954,358.0576709055326,396.04225821558094,402.77574725254885,390.258497150919
