r_um,r_inner_um,r_outer_um,n_cells_full,n_cells_facing,n_cells_away,I2_full_nM,I2_facing_nM,I2_away_nM,S2_free_full_nM,S2_free_facing_nM,S2_free_away_nM,Th2_full_nM,Th2_facing_nM,Th2_away_nM,S2_I2_full_nM,S2_I2_facing_nM,S2_I2_away_nM,S2_Th2_full_nM,S2_Th2_facing_nM,S2_Th2_away_nM,S2_total_full_nM,S2_total_facing_nM,S2_total_away_nM
0.5,0.0,1.0,2,1,1,0.0,0.0,0.0,19.51625795279873,19.514422130396436,19.518078552047115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.51625795279873,19.514422130396436,19.518078552047115
1.5,1.0,2.0,6,4,2,0.0,0.0,0.0,19.508437163468642,19.506314027758254,19.51248197830807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.508437163468642,19.506314027758254,19.51248197830807
2.5,2.0,3.0,9,4,5,0.0,0.0,0.0,19.491965690550533,19.48689362383049,19.496128676147997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.491965690550533,19.48689362383049,19.496128676147997
3.5,3.0,4.0,11,5,6,0.0,0.0,0.0,19.471156364826093,19.469858921579146,19.472364935369523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.471156364826093,19.469858921579146,19.472364935369523
4.5,4.0,5.0,14,6,8,0.0,0.0,0.0,19.437938337489,19.43444364586599,19.441867346780892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.437938337489,19.43444364586599,19.441867346780892
5.5,5.0,6.0,17,8,9,0.0,0.0,0.0,19.39547837083199,19.39423399527141,19.396907080276417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.39547837083199,19.39423399527141,19.396907080276417
6.5,6.0,7.0,13,5,8,0.0,0.0,0.0,19.34167922930571,19.326287699358552,19.356234351792438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.34167922930571,19.326287699358552,19.356234351792438
7.5,7.0,8.0,16,9,7,0.0,0.0,0.0,19.289276278595356,19.283120348611842,19.298413103193514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.289276278595356,19.283120348611842,19.298413103193514
8.5,8.0,9.0,16,5,11,0.0,0.0,0.0,19.226755502569564,19.219162651011384,19.230178131111224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.226755502569564,19.219162651011384,19.230178131111224
9.5,9.0,10.0,16,9,7,0.0,0.0,0.0,19.13726161348813,19.136610302241248,19.138153973349674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.13726161348813,19.136610302241248,19.138153973349674
