param_value,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,half_time_center_hr,n_samples,wall_time_s,n_cells,n_cells_sender_node,n_cells_receiver_node,mesh_file
0.0,0,0.1770684039604062,5.015863209962989,504.8387948060028,1.610663705521619,481,95.61294141970575,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
6.12245e-07,0,0.4193707212342372,5.009747556042654,504.54149788697134,1.6098859958450131,481,97.68216432072222,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.22449e-06,0,0.6610892038393543,5.00363901996684,504.2446845711209,1.6091091917445404,481,89.32621609605849,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.83673e-06,0,0.9022249475828537,4.997537581203904,503.9483535966029,1.608333297066215,481,90.36670298315585,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.44898e-06,0,1.1427790508826567,4.991443219334617,503.65250369856216,1.607558315654166,481,91.71552553400397,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
3.06122e-06,0,1.3827526142272657,4.985355914094216,503.3571336096988,1.6067842498151756,481,99.4002341311425,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
3.67347e-06,0,1.6221467423199143,4.979275645423333,503.0622420581773,1.606011106113557,481,99.75084090232849,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
4.28571e-06,0,1.860962541924128,4.973202393503619,502.7678277698965,1.6052388868673033,481,100.00197118707001,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
4.89796e-06,0,2.0992011219942146,4.967136139418746,502.4738894690244,1.6044675941861635,481,100.2204358316958,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
5.5102e-06,0,2.3368635958177624,4.961076883373286,502.18042589358,1.6036972346394873,481,101.03727209754288,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
6.12245e-06,0,2.573951077959017,4.955024560728387,501.8874357147538,1.6029278087967616,481,102.78909104317427,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
6.73469e-06,0,2.810464686300511,4.948979174271385,501.5949176680632,1.6021593230470883,481,102.46404889971018,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
7.34694e-06,0,3.0464055404149044,4.942940704313891,501.3028704639692,1.6013917793701369,481,102.56841012835503,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
7.95918e-06,0,3.2817747628370344,4.936909131256484,501.0112928095552,1.6006251811075645,481,102.24791918881238,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
8.57143e-06,0,3.516573479002956,4.93088443558839,500.7201834085435,1.5998611769609798,481,103.20442786440253,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
9.18367e-06,0,3.750802815556035,4.924866597895288,500.4295409630236,1.5991054489801928,481,95.1521214414388,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
9.79592e-06,0,3.984463902486795,4.918855598848372,500.13936417128303,1.5983506902511864,481,96.91199226677418,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.04082e-05,0,4.217557871343718,4.912851419212823,499.8496517296138,1.5975969023157628,481,97.39616713486612,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.10204e-05,0,4.450085856629337,4.906854039840318,499.560402330904,1.5968440881880406,481,101.92906500026584,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.16327e-05,0,4.682048993598811,4.900863441679313,499.271614666867,1.5960922491730432,481,99.86525380052626,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.22449e-05,0,4.913448420668848,4.894879605763114,498.9832874255815,1.5953413914312269,481,104.88148467242718,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.28571e-05,0,5.144285277598689,4.888902513218056,498.69541929337066,1.5945915162427335,481,104.92200142145157,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.34694e-05,0,5.374560707036817,4.882932145255524,498.40800895318927,1.5938426264774965,481,105.6874281540513,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.40816e-05,0,5.604275850955098,4.876968483188876,498.12105508826113,1.5930947231620625,481,105.76365093141794,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.46939e-05,0,5.83343185685866,4.871011508403016,497.8345563757852,1.5923478123868635,481,105.87872425094247,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.53061e-05,0,6.062029870969544,4.865061202386734,497.5485114938406,1.5916018952047077,481,106.32521417923272,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.59184e-05,0,6.290071040977607,4.859117546718945,497.2629191185659,1.590856972500354,481,106.10613508149981,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.65306e-05,0,6.5175565196413,4.853180523051244,496.9777779205893,1.5901130502579788,481,106.2447823677212,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.71429e-05,0,6.744487457680651,4.847250113141149,496.6930865721243,1.5893701277582226,481,106.60293223522604,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.77551e-05,0,6.970865009889658,4.841326298822835,496.40884374087534,1.5886282088998998,481,106.80843695066869,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.83673e-05,0,7.196690329239995,4.835409062034477,496.1250480959073,1.5878872980135248,481,100.93775644339621,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.89796e-05,0,7.421964572925002,4.829498384789257,495.8416983016278,1.5871473958213147,481,100.8577316403389,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.95918e-05,0,7.646688898386028,4.823594249193594,495.55879302172536,1.586408502869748,481,101.56394133530557,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.02041e-05,0,7.870864466291248,4.817696637432886,495.2763309162255,1.5856706249718024,481,100.54084271006286,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.08163e-05,0,8.094492433946812,4.811805531802058,494.99431064807095,1.584933762712933,481,98.75451359897852,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.14286e-05,0,8.317573965206506,4.805920914658167,494.71273087319565,1.584197916374016,481,107.39013152010739,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.20408e-05,0,8.540110220016874,4.800042768469843,494.4315902509897,1.5834630918745718,481,107.82744955457747,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.26531e-05,0,8.762102364438086,4.794171075768875,494.1508874342797,1.5827365252244276,481,108.34614247456193,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.32653e-05,0,8.983551561884374,4.788305819191793,493.870621078082,1.582012547392359,481,108.39164655469358,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.38776e-05,0,9.204458975678625,4.782446981467096,493.590789837084,1.5812896040076003,481,108.38566416688263,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.44898e-05,0,9.424825775958029,4.77659454538153,493.3113923586453,1.580567700509003,481,107.89643970504403,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.5102e-05,0,9.644653127849796,4.770748493837092,493.0324272947347,1.5798468351612724,481,108.710613604635,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
2.57143e-05,0,9.863942199786594,4.76490880980975,492.7538932935358,1.5791270134463664,481,108.58048394881189,11012,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
