param_value,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,half_time_center_hr,n_samples,wall_time_s,n_cells,n_cells_sender_node,n_cells_receiver_node,mesh_file
0.05,0,58.80014133331415,4.2042402244158685,418.7624873456242,1.0535979325619553,481,159.19797704555094,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.1,0,42.21061625919637,4.107300349368421,434.6690804928568,0.9263545024993407,481,159.4410499036312,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.15,0,33.03374169504587,4.054471543334997,443.4627974537202,0.8492516640849579,481,159.44455143250525,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.2,0,27.16913624848321,4.021012783079302,449.0805548195485,0.7947728122430489,481,160.30929584987462,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.25,0,23.08656964257281,3.99786122169488,452.9903717068604,0.7528686410225977,481,160.6713429968804,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.3,0,20.07693592952169,3.9808681863700777,455.8721789854111,0.7189496616724012,481,160.34132503531873,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.35,0,17.764714128616504,3.9678557353091817,458.0859207389135,0.690542265763488,481,160.92399801127613,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.4,0,15.931867432480669,3.9575675625319024,459.8405352852229,0.6661564059746874,481,162.15891903452575,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.45,0,14.44291137848294,3.949227005015581,461.26582754000185,0.6448624871998873,481,161.69796653836966,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.5,0,13.209137052596768,3.942327626480784,462.4467742396018,0.6260009356643139,481,163.31412096507847,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
