value_one,value_two,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,I2_edge_final_nM,S2_free_edge_final_nM,S2_total_edge_final_nM,half_time_center_hr,half_time_edge_hr,n_samples,wall_time_s,n_cells
100.0,0.0,0,31.14173597148398,13.424383803377657,473.5320874062157,26.48945256873336,16.78476284779251,483.2678697423142,0.8058800140738178,0.5283245723432284,481,186.04181228019297,10142
100.0,3.333333333333333e-05,0,34.520818594945275,11.450915328304044,466.7138040751562,28.93394647167144,14.795413548999518,477.9099872044272,0.7814043121080192,0.5128352129450436,481,182.4132633768022,10142
100.0,6.666666666666666e-05,0,37.05014617984363,10.224857853589748,461.7707882068368,30.71984224154181,13.556412951897745,474.1752903579885,0.7651298139610747,0.502215739673609,481,182.55396209284663,10142
100.0,9.999999999999999e-05,0,38.99290187742722,9.40065648608641,458.03628540521095,32.067322233994176,12.721280607542084,471.4377891915161,0.7542621954860405,0.49478756078766056,481,179.23033293522894,10142
100.0,0.0001333333333333333,0,40.54063646333031,8.805687232828634,455.0859158528597,33.126796621909136,12.116734636845774,469.3253412411415,0.74685925681629,0.48938735165474356,481,174.78705209307373,10142
100.0,0.00016666666666666666,0,41.819541377054485,8.349839295315022,452.6569507230984,33.99370423836427,11.65223934762384,467.6184782143042,0.7417874426093571,0.48530544733521674,481,166.01730320602655,10142
100.0,0.00019999999999999998,0,42.91029409728869,7.983739714826549,450.58711868755887,34.72756516750633,11.27815503126048,466.1862019102828,0.7382502245328358,0.4821476258994036,481,164.7337101418525,10142
100.0,0.00023333333333333328,0,43.86465212141496,7.678915175407456,448.7745727771966,35.36590753250126,10.965839398147542,464.948243905697,0.7358018958948259,0.4796537887993565,481,158.86456434428692,10142
100.0,0.0002666666666666666,0,44.716519835305306,7.418071869032127,447.1536040537504,35.933009729560936,10.697888519877516,463.8536854871834,0.734150815464609,0.47762069390649425,481,152.84241284802556,10142
100.0,0.0003,0,45.48876484178136,7.190166235195035,445.6803848891927,36.44509882336867,10.46318425090071,462.86896506796063,0.7331064294087282,0.4759372461141444,481,147.2171639520675,10142
200.0,0.0,0,37.36283355649944,10.247662950181184,461.4925350057935,33.40347212122486,12.131650128015467,469.06596798408816,1.1887574800978975,0.8616519162218097,481,206.72230968810618,10728
200.0,3.333333333333333e-05,0,42.21984800671959,8.297192784242792,452.1083550063496,37.31380014331262,10.155687675808888,461.35876113858507,1.140804524778945,0.8246216874562543,481,194.4337281063199,10728
200.0,6.666666666666666e-05,0,45.94889891078686,7.09628325935399,444.91634367115415,40.26733998005446,8.933719400878797,455.6670818387839,1.1089075315941783,0.79880158947169,481,192.02879142388701,10728
200.0,9.999999999999999e-05,0,48.86251986326523,6.296330013450735,439.2381969514856,42.54909464236549,8.115875207321269,451.3062333948854,1.0878982949285223,0.7805833083155506,481,189.12322607636452,10728
200.0,0.0001333333333333333,0,51.20979639975119,5.724054907677343,434.5922196042416,44.37346413797226,7.527922205266197,447.823850176187,1.0741094707144039,0.767343394648559,481,186.1005860865116,10728
200.0,0.00016666666666666666,0,53.1630203942744,5.289425594508721,430.6563512430041,45.88415984634433,7.0791797886552015,444.93264010659584,1.0650876583890887,0.7574616307747867,481,177.56027991697192,10728
200.0,0.00019999999999999998,0,54.83577690224349,4.943304809446456,427.2207435209822,47.17403175472168,6.720087522876855,442.45206271677125,1.0593803652025817,0.7498066155806957,481,173.64090305007994,10728
200.0,0.00023333333333333328,0,56.302494380314805,4.657443293044122,424.14870690095165,48.303071588656245,6.422119884792428,440.26745077887495,1.0559389032640432,0.7437934331328555,481,167.7531945426017,10728
200.0,0.0002666666666666666,0,57.61268614331354,4.414724840796838,421.3497610119129,49.31078042114496,6.167976355271791,438.3042131269637,1.054150460844288,0.7389199678499856,481,163.87170203588903,10728
200.0,0.0003,0,58.80014133331415,4.2042402244158685,418.7624873456242,50.223907918365136,5.946620548960503,436.5123075895123,1.0535979325619553,0.7349052629943521,481,155.47619189321995,10728
300.0,0.0,0,42.17363544631685,8.439476685119118,452.5081520020052,38.227603768102576,9.889110944193709,459.8671554691278,1.5665322368445036,1.1736892291424934,481,219.80266616679728,11012
300.0,3.333333333333333e-05,0,48.29096035459109,6.522635779739198,440.6214894129601,43.31764757655272,7.939191050997598,450.0445997889017,1.4918918117842717,1.1108009878165384,481,199.69427341781557,11012
