param_value,I2_final_mean,I2_final_std,S2_final_mean,S2_final_std,S2_total_final_mean,S2_total_final_std,half_time_mean,half_time_std,wall_time_mean,wall_time_std
200,0.0016813169916585255,0.0,0.17413068140874824,0.0,5.227821310699163,0.0,0.36666666666666664,0.0,25901.363673289616,1.8280500193756182
300,0.0021468242448254337,0.0,0.13560935435142996,0.0,5.182740573620516,0.0,0.5,0.0,26617.51074584325,0.5301746776115795
400,0.0027249292223584035,0.0,0.10635626730646626,0.0,5.15783000653521,0.0,0.6666666666666666,0.0,22733.007938782375,7353.5375081674465
600,0.00426954797898729,0.0,0.06677768345394729,0.0,5.108839632753591,0.0,1.0166666666666666,0.0,15330.211185296377,32.517591857224964
800,0.006787118229327098,0.0,0.04091696177277613,0.0,5.070438403356801,0.0,1.4166666666666667,0.0,16360.773274580637,53.379868528861856
1000,0.012088680543807899,0.0,0.021665795387248263,0.0,5.011381404146085,0.0,2.033333333333333,0.0,13935.696530659994,2755.553722684539
1200,0.026581915673405045,,0.008239764794062304,,4.880042356819862,,3.033333333333333,,33989.447909832,
1300,0.04797765591277011,,0.00329044202182278,,4.609252885821698,,3.933333333333333,,34563.211398124695,
1400,0.0822342501754533,,0.0006450432520751709,,3.3946255580831224,,4.75,,35443.00396704674,
1500,0.09311825445761505,,0.00019633072152722586,,1.944564829086172,,4.283333333333333,,23454.34697175026,
1600,0.09769101708315547,,4.654477530857981e-05,,0.6509911395564144,,3.35,,25344.00376725197,
1800,0.09894073145541656,,5.7538503968041055e-06,,0.0907539422252757,,0.0,,26253.343077898026,
2000,0.0990941706339601,,2.1508777560698457e-06,,0.03435602341978907,,0.0,,27190.47834801674,
