param_value,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,half_time_center_hr,n_samples,wall_time_s,n_cells,n_cells_sender_node,n_cells_receiver_node,mesh_file
3e-05,0,11.381207276787746,4.725451031515292,490.8207991163149,1.5740832159687206,481,160.76929141703295,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
4e-05,0,14.82723096709788,4.631643703109572,486.3794633470882,1.562656047007954,481,1112.5039430130273,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
5e-05,0,18.137342905280043,4.539432014916372,482.044215562018,1.5516062013475311,481,1121.7199818771333,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
6e-05,0,21.316631920466723,4.448753713432053,477.809102776146,1.5409621541145202,481,167.19895090698265,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
7e-05,0,24.370130407666405,4.359552060220437,473.6681964256709,1.5306629913410463,481,1155.0366028733552,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
7.5e-05,0,25.851257548424577,4.315488688860284,471.6312326469434,1.5256696220878008,481,169.41442414501216,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
8e-05,0,27.30278299010558,4.271775567053587,469.61562427805546,1.5207476049064428,481,1153.2935099601746,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
9e-05,0,30.119421652760625,4.1853777287346015,465.6455961752949,1.5111870859231222,481,170.59143393300474,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.0001,0,32.82474653678081,4.100316757164262,461.7524244375618,1.501953874168889,481,1159.367347477004,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.00011,0,35.423311513274115,4.016555319904892,457.9305398319517,1.4930789518451837,481,1160.078441137448,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.00012,0,37.91951383088108,3.934060285176704,454.1745038372929,1.484482738614803,481,172.71296721202089,11024,398,398,conformal_ccd=300.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
