param_value,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,half_time_center_hr,n_samples,wall_time_s,n_cells,n_cells_sender_node,n_cells_receiver_node,mesh_file,t_shutoff_hr,t_stop_hr,on_converged,off_converged
0.0,0,7.461032075901164e-19,1.117192678223475e-15,499.9999999999986,1.206658846426118,4251,555.8163250598591,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,39.166666666666664,70.83333333333333,True,True
6.12245e-07,0,10.184177623197762,6.767379870991214e-24,450.6162422993303,1.1159409961967286,4351,579.5284066919703,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,24.166666666666668,72.5,True,False
1.22449e-06,0,19.331733703404137,3.6123554974288504e-24,406.0869267813847,1.0398940363655815,4301,579.7215189919807,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,23.333333333333332,71.66666666666667,True,False
1.83673e-06,0,27.54808138751092,2.3356630809029145e-24,365.9389869971829,0.9751037230388554,4301,581.2424337379634,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,23.333333333333332,71.66666666666667,True,False
2.44898e-06,0,34.927935104953214,1.6797693852206292e-24,329.7445917518318,0.919202605488726,4301,587.2158005430829,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,23.333333333333332,71.66666666666667,True,False
3.06122e-06,0,41.55639156593399,1.2931710914029183e-24,297.1170391049693,0.8704481389919723,4251,580.8878098090645,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,22.5,70.83333333333333,True,False
3.67347e-06,0,47.50990289454795,1.0439565426062708e-24,267.7069550187884,0.8274590877734527,4251,582.2069807378575,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,22.5,70.83333333333333,True,False
4.28571e-06,0,52.85715221768143,8.728547065688625e-25,241.19879965652996,0.7891539101919502,4251,583.1477376618423,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,22.5,70.83333333333333,True,False
4.89796e-06,0,57.65984118240741,7.497600525082937e-25,217.3076720257243,0.7546604530321168,4251,583.2340689010452,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,22.5,70.83333333333333,True,False
5.5102e-06,0,61.973398093060894,6.579534994698246e-25,195.77639641518,0.72325834646564,4201,578.7064138040878,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
6.12245e-06,0,65.84761455257583,5.874961667274549e-25,176.3728715293046,0.6943686698974256,4201,583.8743549741339,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
6.73469e-06,0,69.32721775029285,5.321537201515601e-25,158.8876623779899,0.6675488016484091,4201,580.1508846180514,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
7.34694e-06,0,72.45238481621854,4.878415842860595e-25,143.13181614088984,0.6422783968911515,4201,586.7928197181318,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
7.95918e-06,0,75.25920510699062,4.5178547166501865e-25,128.93488192024753,0.6184325695046959,4201,579.8216495129745,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
8.57143e-06,0,77.7800956057327,4.220430084713306e-25,116.14311829628062,0.5955679427284449,4201,586.6499818889424,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
9.18367e-06,0,80.04417423284544,3.972185601275297e-25,104.61786993770696,0.5735906840011284,4201,594.4310069431085,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
9.79592e-06,0,82.0775952558453,3.7628660851614503e-25,94.23409993409442,0.5524103819190719,4201,583.1804018509574,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
1.04082e-05,0,83.90385066731774,3.5847870158680003e-25,84.8790623341879,0.5317943603305525,4201,580.1161899620201,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
1.10204e-05,0,85.54404095773303,3.4320899696765484e-25,76.45110244537518,0.5115918879306001,4201,583.8041486172006,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,21.666666666666668,70.0,True,False
1.16327e-05,0,87.0171183971219,3.3002397597834853e-25,68.85857243804439,0.4918793892805927,4151,576.8844594408292,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.22449e-05,0,88.3401055775241,3.185677225280314e-25,62.01885254637413,0.472598789255548,4151,581.3404999319464,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.28571e-05,0,89.52829177711743,3.0855746399626607e-25,55.85746608374844,0.45370796762534976,4151,576.5256875630002,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.34694e-05,0,90.59540933420186,2.99766037135604e-25,50.30728141419569,0.43517791618472085,4151,584.4593919368926,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.40816e-05,0,91.55379211835664,2.920091092726736e-25,45.30779053770766,0.41699041158645767,4151,584.9583522649482,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.46939e-05,0,92.41451786162536,2.851357331431783e-25,40.804458891041854,0.39906271815542615,4151,583.5064843040891,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.53061e-05,0,93.18753603732912,2.7902126701784667e-25,36.74813773139198,0.381465623699547,4151,582.0440461409744,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.59184e-05,0,93.88178271640618,2.7356200628688187e-25,33.094534462054945,0.36423240030831056,4151,582.1710129040293,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.65306e-05,0,94.50528374070456,2.686710651097002e-25,29.803734717453597,0.34737455471655165,4151,582.5262182059232,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.71429e-05,0,95.06524740903538,2.6427518273866087e-25,26.83977083127441,0.3309083334976976,4151,585.073809254216,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.77551e-05,0,95.5681477204652,2.603122251392831e-25,24.17023303659445,0.3148541882603276,4151,586.3697155311238,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.83673e-05,0,96.0197991524258,2.5672921096819287e-25,21.76591854478141,0.29923636555364885,4151,557.0479155590292,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.89796e-05,0,96.42542382279709,2.534807401364011e-25,19.60051528299848,0.28402186100422855,4151,553.1846960650291,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
1.95918e-05,0,96.78971182409973,2.5052773083817167e-25,17.65031635938089,0.2691998524763228,4151,554.723846049048,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
2.02041e-05,0,97.1168754071949,2.4783639954853738e-25,15.89396293830718,0.25486317707221,4151,558.3156334438827,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
2.08163e-05,0,97.41069765417244,2.4537742954737534e-25,14.312212235681466,0.2410457216640349,4151,556.6765532190911,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh,20.833333333333332,69.16666666666667,True,False
