time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
0.0,1.0000000000000001e-07,4.9999999999999996e-06,0.0,0.0,0.0
600.0,7.240498633928721e-08,1.1583732737635044e-06,1.7792234061839698e-08,2.759801728495174e-08,3.841721327319898e-06
1200.0,7.87827734252639e-09,1.7255841051022692e-08,8.848566582535697e-08,9.212415188033076e-08,4.98272888428537e-06
1800.0,2.5883736301253506e-09,1.263551966953205e-08,1.1956897248155984e-07,9.741194272402979e-08,4.987115731631615e-06
2400.0,2.1155363181033957e-09,1.0608814891188051e-08,1.4200787114818518e-07,9.788257564464756e-08,4.989021376218529e-06
3000.0,1.878650276987323e-09,9.464592830242914e-09,1.589668307896487e-07,9.81129097937854e-08,4.99010285304552e-06
3600.0,1.7314869694471205e-09,8.741038247957498e-09,1.72000309628198e-07,9.825603540614119e-08,4.990789319614164e-06
4200.0,1.6326635238796888e-09,8.250242754734846e-09,1.8214138957542865e-07,9.835215736643206e-08,4.9909980138616795e-06
4800.0,1.5629190533508242e-09,7.901818454397603e-09,1.9010377208258422e-07,9.842000285853315e-08,4.9909980138616795e-06
5400.0,1.5119774682013879e-09,7.646491405144015e-09,1.9640166080542433e-07,9.846956242341838e-08,4.9909980138616795e-06
6000.0,1.4738241080636352e-09,7.454832115336768e-09,2.0141389402360312e-07,9.850668381061809e-08,4.9909980138616795e-06
6600.0,1.44470007355856e-09,7.308295801232517e-09,2.054241951121438e-07,9.853502203428774e-08,4.9909980138616795e-06
7200.0,1.422136027854716e-09,7.194630122792063e-09,2.086478909759849e-07,9.855697848282535e-08,4.9909980138616795e-06
7800.0,1.404445719834356e-09,7.105433956786033e-09,2.1125011849393677e-07,9.857419320119316e-08,4.9909980138616795e-06
8400.0,1.3904636829362844e-09,7.034773609958971e-09,2.133586069568365e-07,9.858788630693188e-08,4.9909980138616795e-06
9000.0,1.3792861356936864e-09,6.978355896983403e-09,2.1507287364009703e-07,9.859886621581464e-08,4.9909980138616795e-06
9600.0,1.3701928768521785e-09,6.933012118381735e-09,2.164709555522031e-07,9.859985317676923e-08,4.9909980138616795e-06
10200.0,1.3628613590021743e-09,6.896365382909137e-09,2.1761436573260076e-07,9.859985317676923e-08,4.9909980138616795e-06
10800.0,1.3568906492628783e-09,6.866606936490553e-09,2.185518675631589e-07,9.859985317676923e-08,4.9909980138616795e-06
11400.0,1.3520356570636541e-09,6.842468489176125e-09,2.1931832438412414e-07,9.859985317676923e-08,4.9909980138616795e-06
12000.0,1.3480598498373878e-09,6.822624759283516e-09,2.1995249604987267e-07,9.859985317676923e-08,4.9909980138616795e-06
12600.0,1.344796357897075e-09,6.80633214791824e-09,2.204759538329616e-07,9.859985317676923e-08,4.9909980138616795e-06
13200.0,1.34211085817869e-09,6.792922018427287e-09,2.2090869237327144e-07,9.859985317676923e-08,4.9909980138616795e-06
13800.0,1.339896089568333e-09,6.781860329150061e-09,2.212669405078935e-07,9.859985317676923e-08,4.9909980138616795e-06
14400.0,1.3380660242243015e-09,6.772718512946555e-09,2.2156389723072032e-07,9.859985317676923e-08,4.9909980138616795e-06
15000.0,1.3365513145743153e-09,6.765150924433976e-09,2.2181032708581015e-07,9.859985317676923e-08,4.9909980138616795e-06
15600.0,1.3352958033987288e-09,6.758877539272681e-09,2.2201503250496023e-07,9.859985317676923e-08,4.9909980138616795e-06
16200.0,1.3342538300769685e-09,6.7536705871552595e-09,2.221852292208476e-07,9.859985317676923e-08,4.9909980138616795e-06
16800.0,1.333388135122497e-09,6.749344144254947e-09,2.2232684567576132e-07,9.859985317676923e-08,4.9909980138616795e-06
17400.0,1.3326682180311402e-09,6.745745970558311e-09,2.224447627076592e-07,9.859985317676923e-08,4.9909980138616795e-06
18000.0,1.332069041514216e-09,6.742751064341735e-09,2.2254300614939631e-07,9.859985317676923e-08,4.9909980138616795e-06
