time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
0.0,9.999999999986867e-08,4.9999999999934325e-06,0.0,0.0,0.0
600.0,9.844802283310718e-08,4.345072002777234e-06,3.775899781903813e-10,1.5521684999282917e-09,6.54948030151348e-07
1200.0,9.611385471547978e-08,3.6671865344107935e-06,6.237943699524026e-10,3.888226889624258e-09,1.3328160592555065e-06
1800.0,9.291457407475521e-08,3.0711058338749084e-06,9.585126607294946e-10,7.09120264040136e-09,1.9288761296702775e-06
2400.0,8.908869379534648e-08,2.5703658106461865e-06,1.2809784531301e-09,1.0920083176092763e-08,2.4296009047714e-06
3000.0,8.51044505326923e-08,2.152496285513334e-06,1.5597410262626196e-09,1.4906682533947233e-08,2.84745863040832e-06
3600.0,8.115030404930343e-08,1.8064523433816925e-06,1.8317870341613806e-09,1.8863371969442804e-08,3.1934917432550414e-06
4200.0,7.72905531898102e-08,1.5227274365589723e-06,2.094843351231662e-09,2.272572636503586e-08,3.477207096886058e-06
4800.0,7.362080089453422e-08,1.290888538503098e-06,2.33074782680834e-09,2.639779469561148e-08,3.7090381408373017e-06
5400.0,7.022546582306583e-08,1.1012264641978277e-06,2.536893764263516e-09,2.979329509015217e-08,3.898555225473549e-06
6000.0,6.712719257134744e-08,9.461368457522237e-07,2.723310320749373e-09,3.289056305566845e-08,4.053317003600831e-06
6600.0,6.430195671205595e-08,8.19961964512495e-07,2.899297715681981e-09,3.571487578606567e-08,4.1791849334158026e-06
7200.0,6.171261413941425e-08,7.182154763339968e-07,3.069190484369401e-09,3.830335671175322e-08,4.2806390965041384e-06
7800.0,5.9328523664574015e-08,6.370838141006809e-07,3.233635252463403e-09,4.0686645996578515e-08,4.361494276041731e-06
8400.0,5.7131264820177287e-08,5.732096444902069e-07,3.3912776087222307e-09,4.288317088648242e-08,4.425111831790659e-06
9000.0,5.511369451074168e-08,5.235993100811166e-07,3.5397831433975946e-09,4.4900083264991804e-08,4.474489910711304e-06
9600.0,5.3276368349805395e-08,4.855749041770085e-07,3.676449509928772e-09,4.673650911944262e-08,4.512310136633897e-06
10200.0,5.1623075576584994e-08,4.5675387574276884e-07,3.798821309654725e-09,4.8387568901699664e-08,4.540957032106674e-06
10800.0,5.015939928500804e-08,4.3506151492434193e-07,3.905383712660958e-09,4.984902827692368e-08,4.562504941710314e-06
11400.0,4.888651547245128e-08,4.187615609953053e-07,3.995951066512642e-09,5.112158946752952e-08,4.578687603015636e-06
12000.0,4.779556733316365e-08,4.0646965374844543e-07,4.071525920030644e-09,5.221228126946052e-08,4.590885533804661e-06
12600.0,4.6873509200602905e-08,3.971307291907263e-07,4.13382875603211e-09,5.313413699729587e-08,4.600149645724005e-06
13200.0,4.6103234268099065e-08,3.8998971218461965e-07,4.1844032793987285e-09,5.390425221969061e-08,4.60725370369687e-06
13800.0,4.546601083580608e-08,3.84470080111711e-07,4.2258254184016384e-09,5.454134910248332e-08,4.612764081463768e-06
14400.0,4.4942281745991313e-08,3.8014213425718475e-07,4.25963714732043e-09,5.5063953797854986e-08,4.616932566555205e-06
15000.0,4.4510259566641423e-08,3.7668711085022146e-07,4.28743600356605e-09,5.5488337078159375e-08,4.620053515417227e-06
15600.0,4.4157108967388465e-08,3.7390850767365523e-07,4.310324056355565e-09,5.583524336426248e-08,4.622561735685363e-06
16200.0,4.3868836616983115e-08,3.716644566581469e-07,4.3291690136826935e-09,5.6118418561124335e-08,4.624586331834902e-06
16800.0,4.3633692389124276e-08,3.6984474420081006e-07,4.344694637966915e-09,5.634940503249842e-08,4.626227381885853e-06
17400.0,4.344191296475058e-08,3.6836370267594715e-07,4.35749666241575e-09,5.653779346508557e-08,4.627562550883549e-06
18000.0,4.3285453558037246e-08,3.671543746620263e-07,4.368063177934853e-09,5.6691486398988653e-08,4.628652464422964e-06
18600.0,4.315791334137596e-08,3.662030062883814e-07,4.376045235555212e-09,5.6816771484117626e-08,4.629544799886154e-06
19200.0,4.305467174369468e-08,3.6544538939450367e-07,4.382904076839041e-09,5.691818759185955e-08,4.630289020803522e-06
19800.0,4.297077515694543e-08,3.6481162622092675e-07,4.388664930994329e-09,5.7000600741907927e-08,4.63091157794849e-06
20400.0,4.29023177868661e-08,3.642829419508119e-07,4.393486053106323e-09,5.7067847667329646e-08,4.631430914166678e-06
21000.0,4.2846274074366945e-08,3.6384222129055556e-07,4.397517048076124e-09,5.7122900430098955e-08,4.631863842123709e-06
21600.0,4.280022298737755e-08,3.6346094361623334e-07,4.400949747583235e-09,5.716813725425356e-08,4.631941368243084e-06
22200.0,4.276190170003187e-08,3.6310560167032134e-07,4.404059844555207e-09,5.720578095498605e-08,4.631941368243084e-06
22800.0,4.2729528149745044e-08,3.627810925590192e-07,4.406864491281118e-09,5.7237582084933805e-08,4.631941368243084e-06
23400.0,4.270186611747727e-08,3.6248837945862504e-07,4.409378296501913e-09,5.726475500464676e-08,4.631941368243084e-06
24000.0,4.267802724281543e-08,3.6222620249109273e-07,4.411622592686135e-09,5.7288172366790014e-08,4.631941368243084e-06
24600.0,4.265735213308122e-08,3.6199241289838484e-07,4.4136206797473055e-09,5.7308481904839337e-08,4.631941368243084e-06
