time_s,S2_M,I2_M,S2_tot_M
600,3.1065331249263244e-10,9.845448526515304e-08,1.0724025755151432e-06
1200,3.6087173146135416e-10,9.693521918718633e-08,1.9700137760217084e-06
1800,4.173317195489398e-10,9.541400426664837e-08,2.721459098690091e-06
2400,4.802173411338346e-10,9.386767084311493e-08,3.350677599928286e-06
3000,5.495380644667456e-10,9.227859226511768e-08,3.877696989825851e-06
3600,6.250915064402423e-10,9.063493974957679e-08,4.319270801612837e-06
4200,7.064362284076147e-10,8.893091158486214e-08,4.689411196012027e-06
4800,7.928805970079607e-10,8.716681869173523e-08,4.99983459935459e-06
5400,8.834925599265949e-10,8.534891508802348e-08,5.260334612089518e-06
6000,9.771326223749145e-10,8.348889107016038e-08,5.479094289918192e-06
6600,1.0725086880102284e-09,8.160299832969073e-08,5.662947912121754e-06
7200,1.1682475387082625e-09,7.971084157285488e-08,5.817600650306416e-06
7800,1.2629745974793789e-09,7.783393590931792e-08,5.947813095580319e-06
8400,1.3553921414183081e-09,7.599417671914892e-08,6.057556369024951e-06
9000,1.4443467120447498e-09,7.421238629286852e-08,6.150142513901645e-06
9600,1.5288788686277292e-09,7.250708545393473e-08,6.228334033502002e-06
10200,1.6082518831265314e-09,7.089359476924452e-08,6.294435775655622e-06
10800,1.6819595223201463e-09,6.938351206708646e-08,6.35037184646347e-06
11400,1.7497158960631583e-09,6.79845558764148e-08,6.397749830402537e-06
12000,1.8050412202729783e-09,6.669881398046329e-08,6.438320162431197e-06
12600,1.8569062320994308e-09,6.55400663337889e-08,6.4725560599312226e-06
13200,1.903095973058042e-09,6.450578838018536e-08,6.501605506249315e-06
13800,1.943985270922007e-09,6.358809869666222e-08,6.526267682980658e-06
14400,1.9799912249836606e-09,6.277817898390898e-08,6.547215449341527e-06
15000,2.011551320868674e-09,6.206673845729315e-08,6.5650159211462795e-06
15600,2.0391042246050794e-09,6.144439464430864e-08,6.580147687326784e-06
16200,2.063075776452432e-09,6.090196769728183e-08,6.593015096396334e-06
16800,2.0838694190325954e-09,6.04306934709406e-08,6.6039601334384115e-06
17400,2.1018602198637627e-09,6.002236579890761e-08,6.613272313824527e-06
18000,2.1173916817789035e-09,5.966942054000177e-08,6.621196941906358e-06
18600,2.1307746266592187e-09,5.936497406882837e-08,6.6279420190614655e-06
19200,2.1422875540678138e-09,5.9102827791370373e-08,6.63368403344719e-06
19800,2.1521779950360843e-09,5.8877448590614596e-08,6.638572821583864e-06
20400,2.1606644902689427e-09,5.8683933260776814e-08,6.642735657656574e-06
21000,2.1679389157503393e-09,5.851796321890598e-08,6.646280698679576e-06
21600,2.1741689555969123e-09,5.837575421865931e-08,6.649299891154254e-06
22200,2.1795005828035408e-09,5.825400448340952e-08,6.651871426546506e-06
22800,2.1840604551728717e-09,5.814984362749852e-08,6.654061817986715e-06
23400,2.1879581685515256e-09,5.8060783922540654e-08,6.655927658392613e-06
24000,2.1912883348230345e-09,5.798467485596987e-08,6.657517110203901e-06
24600,2.1941324700176018e-09,5.7919661484620557e-08,6.658871168676055e-06
25200,2.1965606901611332e-09,5.7864146772268964e-08,6.660024733873867e-06
25800,2.1986332205433362e-09,5.7816757886396785e-08,6.661007520864736e-06
26400,2.200401729076533e-09,5.777631629076217e-08,6.661844832923636e-06
27000,2.2019104972224066e-09,5.7741811386480816e-08,6.662558218653918e-06
27600,2.2031974432478525e-09,5.77123774095061e-08,6.663166030662222e-06
28200,2.2040892552318005e-09,5.7691979556922966e-08,6.66358685249549e-06
28800,2.2040892552318005e-09,5.7691979556922966e-08,6.66358685249549e-06
