time_s,S2_M,I2_M,S2_tot_M
600,5.065512021297006e-10,9.760358411580749e-08,1.0632975916540008e-06
1200,6.529084990039176e-10,9.50096573011019e-08,1.951146306690709e-06
1800,8.598937378940845e-10,9.205175381712245e-08,2.691641472528527e-06
2400,1.1673207738806076e-09,8.848954833013295e-08,3.3079549535914627e-06
3000,1.67661033640922e-09,8.382243064272225e-08,3.834407945366919e-06
3600,2.693084614763879e-09,7.69877658282563e-08,4.291919619353366e-06
4200,5.282128452606211e-09,6.58343734249622e-08,4.6688528600773875e-06
4800,1.7861040726426023e-08,4.2720512324354815e-08,4.972710727184066e-06
5400,1.2576202688970186e-07,4.704776538289487e-09,5.232282735257991e-06
6000,3.2976993459240753e-07,9.410633585200828e-10,5.465638993161872e-06
6600,4.928151401040191e-07,6.18137797289748e-10,5.661651354554116e-06
7200,6.336696996368514e-07,4.805016320961809e-10,5.825799496353587e-06
7800,7.548175333793376e-07,4.0380532755067587e-10,5.96316941727188e-06
8400,8.578796788694452e-07,3.557350079631354e-10,6.078107179463697e-06
9000,9.450569117664547e-07,3.2328648348819646e-10,6.1742698572169986e-06
9600,1.0185525101610567e-06,3.002501075175518e-10,6.254722327597239e-06
10200,1.0803837034659926e-06,2.8329600582185557e-10,6.3220303922167065e-06
10800,1.1298799873837907e-06,2.7212532523150374e-10,6.375318803024272e-06
11400,1.1710223038804744e-06,2.6254033271746417e-10,6.419848528962466e-06
12000,1.2060313531601052e-06,2.549049173444089e-10,6.457645376117802e-06
12600,1.2357850729067843e-06,2.487593395643677e-10,6.489704076890733e-06
13200,1.2610481502118339e-06,2.4377124606371466e-10,6.516880142852922e-06
13800,1.2824820416023575e-06,2.396948045264741e-10,6.53990661090649e-06
14400,1.300656059134565e-06,2.3634459823668306e-10,6.559409840323123e-06
15000,1.316058395045184e-06,2.335784289499159e-10,6.5759239148177994e-06
15600,1.3291065065076688e-06,2.3128567708855572e-10,6.589903499094371e-06
16200,1.3401565919363975e-06,2.2937923135119622e-10,6.601735157430575e-06
16800,1.3495120649930948e-06,2.2778977116228247e-10,6.611747223125719e-06
17400,1.3574310293110912e-06,2.2646163657518728e-10,6.620218345416984e-06
18000,1.3641328084454076e-06,2.2534979204204472e-10,6.6273848537197945e-06
18600,1.3698036104936071e-06,2.2441755856495028e-10,6.633447078691153e-06
19200,1.3746014163039298e-06,2.23634895199341e-10,6.638574762025138e-06
19800,1.3786601808136556e-06,2.2297707975642243e-10,6.642911675797893e-06
20400,1.38209343282319e-06,2.2242368399025907e-10,6.6465795597574805e-06
21000,1.3849973518068437e-06,2.2195776907156405e-10,6.649681472442878e-06
21600,1.3874533926234855e-06,2.215652479849742e-10,6.652304640098515e-06
22200,1.3895305210618123e-06,2.2123437593047634e-10,6.654522876371242e-06
22800,1.3912871155142857e-06,2.2095533996740244e-10,6.656398635879616e-06
23400,1.3927725829749418e-06,2.2071992638000495e-10,6.657984755957615e-06
24000,1.3940287311158792e-06,2.20521249471409e-10,6.659325933155003e-06
