time_s,S2_M,I2_M,S2_tot_M
60.0,1.0478233440000614e-09,4.968761693043535e-07,2.94640169952899e-07
120.0,1.121205674592313e-09,4.935559032277882e-07,5.840591545561694e-07
180.0,1.2010598278263599e-09,4.900246099855884e-07,8.683470332935311e-07
240.0,1.293049230996769e-09,4.86252122388042e-07,1.1475905507226341e-06
300.0,1.4001670365910435e-09,4.822011494611512e-07,1.4218733590102276e-06
360.0,1.5264483167942156e-09,4.778248993808576e-07,1.691275290503568e-06
420.0,1.6774905504341022e-09,4.73063541655565e-07,1.955871140113694e-06
480.0,1.8612836482988941e-09,4.678388567706882e-07,2.2157285721679913e-06
540.0,2.089625854870655e-09,4.6204583918056554e-07,2.4709043823491656e-06
600.0,2.380665839230016e-09,4.555389234594484e-07,2.7214375056867967e-06
660.0,2.763757022609057e-09,4.4810815116148294e-07,2.9673351909896342e-06
720.0,3.3007692132039455e-09,4.3940588662543996e-07,3.2094007079209246e-06
780.0,4.077294171814796e-09,4.289130583473505e-07,3.4470427053557636e-06
840.0,5.309728842872399e-09,4.1567047333884445e-07,3.680148696974308e-06
900.0,7.527780060508529e-09,3.97707352471719e-07,3.9082383342029724e-06
960.0,1.2598810394550352e-08,3.697564072677034e-07,4.132195491331778e-06
1020.0,2.9758322603015584e-08,3.137384306705543e-07,4.352350522600732e-06
1080.0,1.0066443072122083e-07,1.9559916132473698e-07,4.5689775157102215e-06
1140.0,2.595151177719578e-07,7.649285213757017e-08,4.78229188492781e-06
1200.0,4.923798127627531e-07,1.934432409172797e-08,4.99233766612407e-06
1260.0,7.627214240397299e-07,3.4690072398469194e-09,5.198736578453278e-06
1320.0,1.0409924502325652e-06,4.787508869160989e-10,5.401509283907883e-06
1380.0,1.316862994508957e-06,5.3785115710315786e-11,5.600695697548775e-06
1440.0,1.5882262325320355e-06,5.108109991106816e-12,5.796361182302713e-06
1500.0,1.854834524017634e-06,4.2114823830317765e-13,5.988566976594537e-06
1560.0,2.1167280700177805e-06,3.073992066411147e-14,6.177369369610348e-06
1620.0,2.3739957093901045e-06,2.016529295260742e-15,6.362837878659219e-06
1680.0,2.6267148110108257e-06,1.2031590334601378e-16,6.545027356359871e-06
1740.0,2.874965431174265e-06,6.592727165097683e-18,6.723995436540442e-06
1800.0,3.118826553095182e-06,3.344361979627703e-19,6.899799053461032e-06
1860.0,3.358375788888451e-06,1.5812395745557224e-20,7.072494158599814e-06
1920.0,3.59368938004726e-06,7.008377021184491e-22,7.24213571571659e-06
1980.0,3.824842220085701e-06,2.9263691250715393e-23,7.4087777168139234e-06
2040.0,4.05190787827672e-06,1.1561445277683712e-24,7.572473199227822e-06
2100.0,4.274958623061611e-06,4.3382938014532565e-26,7.733274262502773e-06
2160.0,4.494065445050698e-06,1.5513634973593238e-27,7.891232084973252e-06
2220.0,4.709298079617581e-06,5.302757430521997e-29,8.04639694005231e-06
2280.0,4.920725029093891e-06,1.737222053932827e-30,8.19881821223213e-06
2340.0,5.1284135845716024e-06,5.468038164692499e-32,8.3485444128017e-06
2400.0,5.332429847319844e-06,1.657253499365758e-33,8.495623195286541e-06
2460.0,5.53283874982303e-06,4.846190965304428e-35,8.640101370615463e-06
2520.0,5.729704076446985e-06,1.3698231156185586e-36,8.782024922019118e-06
2580.0,5.923088483739671e-06,3.748982462584886e-38,8.921439019665146e-06
2640.0,6.113053520372957e-06,9.949972161504385e-40,9.058388035034524e-06
2700.0,6.299659646731785e-06,2.56456079265278e-41,9.192915555043737e-06
2760.0,6.48296625415696e-06,6.427825473447676e-43,9.325064395917226e-06
2820.0,6.663031683847701e-06,1.5685967235931144e-44,9.454876616814563e-06
2880.0,6.8399132454299616e-06,3.7312467786767785e-46,9.582393533216663e-06
2940.0,7.013667235196425e-06,8.660801455924434e-48,9.707655730075308e-06
3000.0,7.184348954023993e-06,1.9636292232298634e-49,9.830703074730163e-06
3060.0,7.352012724974453e-06,4.3527795262665586e-51,9.95157472959741e-06
3120.0,7.516711910583942e-06,9.441982418069984e-53,1.0070309164633998e-05
3180.0,7.6784989298467e-06,2.0059025102598075e-54,1.0186944169581528e-05
3240.0,7.837425274898526e-06,4.176827146464874e-56,1.0301516865993643e-05
3300.0,7.993541527405232e-06,8.530883541057957e-58,1.0414063719050729e-05
3360.0,8.146897374661328e-06,1.710233921867448e-59,1.0524620549165746e-05
3420.0,8.297541625404054e-06,3.367580016254245e-61,1.0633222543384817e-05
3480.0,8.445522225347794e-06,6.517081117006112e-63,1.0739904266586264e-05
3540.0,8.590886272443805e-06,1.2402781846934673e-64,1.0844699672481595e-05
3600.0,8.733680031870143e-06,2.3225278495749843e-66,1.0947642114421998e-05
3660.0,8.873948950756524e-06,4.281655047728861e-68,1.104876435601375e-05
3720.0,9.011737672648845e-06,7.774871843080023e-70,1.1148098581545924e-05
3780.0,9.147090051717921e-06,1.3912881912503084e-71,1.1245676406233716e-05
3840.0,9.280049166717014e-06,2.4546241180341267e-73,1.1341528886280662e-05
3900.0,9.410657334692547e-06,4.2715900559936525e-75,1.1435686528762928e-05
3960.0,9.538956124452404e-06,7.335249796132398e-77,1.1528179301338829e-05
4020.0,9.664986369796074e-06,1.2434751594209877e-78,1.1619036641786668e-05
4080.0,9.788788182510878e-06,2.0817317043090132e-80,1.1708287467373936e-05
4140.0,9.910400965138386e-06,3.4430183137448537e-82,1.1795960184060841e-05
4200.0,1.0029863423515112e-05,5.627761410488951e-84,1.18820826955411e-05
4260.0,1.0147213579091465e-05,9.094154796564131e-86,1.1966682412122885e-05
4320.0,1.0262488781032871e-05,1.4533223458936434e-87,1.2049786259452734e-05
4380.0,1.0375725718106945e-05,2.297584667139819e-89,1.21314206870852e-05
4440.0,1.0486960430360454e-05,3.5943700147294646e-91,1.221161167690098e-05
4500.0,1.0596228320589836e-05,5.565990096817607e-93,1.2290384751376207e-05
4560.0,1.0703564165608875e-05,8.533995555842943e-95,1.2367764981705506e-05
4620.0,1.0809002127317165e-05,1.2958960582157192e-96,1.2443776995781437e-05
4680.0,1.0912575763572852e-05,1.9494354215030746e-98,1.2518444986032845e-05
4740.0,1.1014318038873135e-05,2.905879152333211e-100,1.2591792717124602e-05
4800.0,1.1114261334845908e-05,4.2932034668654825e-102,1.2663843533521218e-05
4860.0,1.12124374605559e-05,6.288139234374826e-104,1.2734620366916717e-05
4920.0,1.1308877662628586e-05,9.132666613937434e-106,1.280414574353312e-05
