Phi_in_nMps,tw50_s,final_S2_nM,final_S2_tot_nM,final_I2_nM,csv_file,t50_initial_s,t50_offrange_s
0.02,,0.0040523341625473,66.62949543766048,1.9983907792748092,well_mixed_results/run_Phi_in_0p020nMps.csv,,1222.2397838393235
0.05,,0.0103436761371532,166.57357305379116,4.985397931020754,well_mixed_results/run_Phi_in_0p050nMps.csv,,1925.3406297492895
0.1,,0.021437245488617,333.1464773674778,9.933669297761542,well_mixed_results/run_Phi_in_0p100nMps.csv,,2256.9075703094595
0.2,,0.0461637294758307,666.2902942731465,19.703939606402816,well_mixed_results/run_Phi_in_0p200nMps.csv,,2560.7980149838468
0.5,,0.1498474589593381,1665.7314197844023,47.61983011645721,well_mixed_results/run_Phi_in_0p500nMps.csv,,3290.121589329428
1.0,,0.5932077891916722,3331.3906351035967,83.42976018966506,well_mixed_results/run_Phi_in_1p000nMps.csv,,5171.858270508004
2.0,5040.0,1472.5005227594138,6664.773778713263,0.4061287978217233,well_mixed_results/run_Phi_in_2p000nMps.csv,4593.093653250506,4590.856419254092
3.0000000000000004,2640.0,4699.713285943695,9997.319977280762,0.1912488828982509,well_mixed_results/run_Phi_in_3p000nMps.csv,2401.0229757226634,2400.8246457151076
4.0,1860.0,7930.856042400226,13328.810394720773,0.1511685223627965,well_mixed_results/run_Phi_in_4p000nMps.csv,1650.4822616222166,1650.3948017559626
5.0,1440.0,11162.174695857697,16660.348540345116,0.1342841146430652,well_mixed_results/run_Phi_in_5p000nMps.csv,1268.1560022352119,1268.1119729140514
