x,phi
0.125,3.3016455516899473e-68
0.375,3.782716360509573e-68
0.625,4.814154579426465e-68
0.875,6.544419388291372e-68
1.125,9.222252502156625e-68
1.375,1.3232021020926645e-67
1.625,1.914824529662695e-67
1.875,2.7816955391684533e-67
2.125,4.047525960289683e-67
2.375,5.8925821847846174e-67
2.625,8.579056119890487e-67
2.875,1.2487884999668195e-66
3.125,1.8172129518385631e-66
3.375,2.6434299630153404e-66
3.625,3.843830858379501e-66
3.875,5.587148402412972e-66
4.125,8.117891324523079e-66
4.375,1.1790227309481946e-65
4.625,1.7116952436688858e-65
4.875,2.484023492066129e-65
5.125,3.6033772815816744e-65
5.375,5.225025419098757e-65
5.625,7.573412152231425e-65
5.875,1.0972843412531445e-64
6.125,1.589172619230158e-64
6.375,2.300632067381441e-64
6.625,3.329257363804286e-64
6.875,4.815834753060773e-64
7.125,6.963373556890419e-64
7.375,1.0064486562272846e-63
7.625,1.4540765498510022e-63
7.875,2.0999383046129972e-63
8.125,3.031442410442362e-63
8.375,4.374370191953012e-63
8.625,6.309647139699474e-63
8.875,9.097411554084005e-63
9.125,1.3111541235986833e-62
9.375,1.888916171952532e-62
9.625,2.720160714109311e-62
9.875,3.915608708510598e-62
10.125,5.634128564966169e-62
10.375,8.103578967273286e-62
10.625,1.1650633366570247e-61
10.875,1.6743438729468235e-61
11.125,2.405260594331242e-61
11.375,3.4538373023872606e-61
11.625,4.9575120511197605e-61
11.875,7.112917114283149e-61
12.125,1.0201256951323812e-60
12.375,1.4624515870871197e-60
12.625,2.0957095139821815e-60
12.875,3.001942368560337e-60
13.125,4.298284892427279e-60
13.375,6.15190370609037e-60
13.625,8.801268054973547e-60
13.875,1.2586421115465293e-59
14.125,1.7992042240437923e-59
14.375,2.5708679059302856e-59
14.625,3.6719779384121574e-59
14.875,5.242534134203361e-59
15.125,7.481751450967697e-59
15.375,1.0672987368221534e-58
15.625,1.5219112474217431e-58
15.875,2.1692678174497438e-58
16.125,3.090704172273266e-58
16.375,4.401716070461218e-58
16.625,6.266237292965817e-58
16.875,8.916856480037265e-58
17.125,1.2683430904623716e-57
17.375,1.803356761071337e-57
17.625,2.562986950571943e-57
17.875,3.641085508876519e-57
18.125,5.170529321819964e-57
18.375,7.339368262390124e-57
18.625,1.0413621873422133e-56
18.875,1.4769448613396604e-56
19.125,2.0938521729422217e-56
19.375,2.96720062596541e-56
19.625,4.203072392223401e-56
19.875,5.951217120489962e-56
20.125,8.42293772748025e-56
20.375,1.1916265142027844e-55
20.625,1.685137729820136e-55
20.875,2.3820409701239652e-55
21.125,3.365747520905154e-55
21.375,4.753705017310983e-55
21.625,6.711215943455541e-55
21.875,9.470837623690902e-55
22.125,1.3359606461528373e-54
22.375,1.883722563234762e-54
22.625,2.654960829771105e-54
22.875,3.740391861995067e-54
23.125,5.267369678005776e-54
23.375,7.414606530756959e-54
23.625,1.0432777299588112e-53
23.875,1.4673346918379685e-53
24.125,2.0628885192123761e-53
24.375,2.8989422263827796e-53
24.625,4.072119305111629e-53
24.875,5.717661784018852e-53
25.125,8.024784332781352e-53
25.375,1.1258100456367135e-52
25.625,1.5787509170789788e-52
25.875,2.212986486830103e-52
26.125,3.1007050867705513e-52
26.375,4.342687900918021e-52
26.625,6.0795738278416645e-52
26.875,8.50753842802076e-52
27.125,1.1900107118053587e-51
27.375,1.6638489393480662e-51
27.625,2.3253744363333922e-51
27.875,3.2485366685506083e-51
28.125,4.536265201744963e-51
28.375,6.331764994533948e-51
28.625,8.83418988608394e-51
28.875,1.2320381836745183e-50
29.125,1.7175010255397843e-50
29.375,2.3932338981144264e-50
29.625,3.333408154571049e-50
29.875,4.640950675375066e-50
30.125,6.458630323064238e-50
30.375,8.984394663097108e-50
30.625,1.2492577105046054e-49
30.875,1.7363208630669798e-49
31.125,2.412251362221093e-49
31.375,3.3498832623510582e-49
31.625,4.649981504677215e-49
31.875,6.451892494967449e-49
32.125,8.94823266217031e-49
32.375,1.240513702127121e-48
32.625,1.7190160067561008e-48
32.875,2.3810704045911866e-48
33.125,3.2966923400064206e-48
33.375,4.5624526574594783e-48
33.625,6.311491438215602e-48
33.875,8.727285884920297e-48
34.125,1.206257123715717e-47
34.375,1.6665331902973822e-47
34.625,2.3014488966803146e-47
34.875,3.1768879778841906e-47
35.125,4.383445061408539e-47
35.375,6.045639411907207e-47
35.625,8.334543614217371e-47
35.875,1.1485085217854489e-46
36.125,1.581973995356632e-46
36.375,2.178096329555899e-46
36.625,2.997556346302888e-46
36.875,4.123538577285014e-46
37.125,5.6700267436937845e-46
37.375,7.793138534854901e-46
37.625,1.0706606330458617e-45
37.875,1.4702910919134614e-45
38.125,2.018211962440969e-45
38.375,2.7691219972751515e-45
38.625,3.7977744785277635e-45
38.875,5.206284867459576e-45
39.125,7.134084706246601e-45
39.375,9.771473974746333e-45
39.625,1.3378064534976364e-44
39.875,1.8307868640384849e-44
